product_id,name,date,unit,category_name,category_codes,monimi_meiosi,promo,supplier_name,supplier_code,merchant,price,price_normalized
5201262112103,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΡΥΖΙ ΜΕ ΚΑΛΑΜΠΟΚΙ 15/600G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,xalkiadakis,3.84,6.4
5201262112103,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΡΥΖΙ ΜΕ ΚΑΛΑΜΠΟΚΙ 15/600G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,efresh,3.96,6.6
5201262112103,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΡΥΖΙ ΜΕ ΚΑΛΑΜΠΟΚΙ 15/600G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,mymarket,3.84,6.4
5201262112103,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΡΥΖΙ ΜΕ ΚΑΛΑΜΠΟΚΙ 15/600G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,3.96,6.6
5201262114138,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΠΕΝΕΣ ΟΛΙΚΗΣ ΜΑΝ. 12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,efresh,4.47,5.96
5201262114138,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΠΕΝΕΣ ΟΛΙΚΗΣ ΜΑΝ. 12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,4.51,6.01
5201262114152,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΠΕΝΕΣ ME ΣΠΑΝ. ΚΤΨ 12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,4.46,5.95
5201262114169,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΒΙΔΕΣ ΜΑΝ. ΚΑΡ. ΚΤΨ 12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,xalkiadakis,4.4,5.86
5201262114169,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΒΙΔΕΣ ΜΑΝ. ΚΑΡ. ΚΤΨ 12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,4.46,5.95
5201262114176,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΚΡΙΘ/ΚΙ ΜΑΝ/ΡΙ ΚΤΨ12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,xalkiadakis,4.4,5.86
