CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null
1,5201399020074,3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 500GR Ε.Ε.,1.55,3.10,7085666.jpg,0,Ρύζι,Kg,,ab,27-11-2024,03-12-2024,
1,5202336158133,ΑΒ ΕΠΙΛΟΓΗ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1KG,1.79,1.79,default_kalathi.png,1,Ρύζι,Kg,,ab,27-11-2024,03-12-2024,
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ab,27-11-2024,03-12-2024,
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,1,Ψωμί Φραντζόλα,Kg,,ab,27-11-2024,03-12-2024,
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ab,27-11-2024,03-12-2024,
4,5201485006494,ΦΡ. ELITE CL.OΛ.ΑΛΕΣ.4Χ90GR 3+1ΔΩΡ,1.49,4.14,7070501.jpg,0,Φρυγανιές,Kg,,ab,27-11-2024,03-12-2024,
4,5202336010820,ΑΒ ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ  4/PACK 500GR,1.38,2.76,7123728.jpg,1,Φρυγανιές,Kg,,ab,27-11-2024,03-12-2024,
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,0.67,1.34,7467309.jpg,0,Μακαρόνια Νο 6,Kg,,ab,27-11-2024,03-12-2024,
6,27093252,ΣΠΑΛΑ Α/Ο ΧΟΙΡΙΝΗ ΕΛΛΗΝΙΚΗ,8.20,8.20,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ab,27-11-2024,03-12-2024,
7,27025864,AB ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ,2.95,2.95,7603950.jpg,1,Νωπό Κοτόπουλο Ολόκληρο,Kg,,ab,27-11-2024,03-12-2024,
8,29824861,ΕΔΕΣΜΑ ΓΑΛ/ΛΑ ΚΑΠΝΙΣΤΗ Χ.Γ,7.77,7.77,default_kalathi.png,0,Γαλοπούλα,Kg,,ab,27-11-2024,03-12-2024,
8,5202336129676,365 ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ ΦΕΤΕΣ 300G,2.40,8.00,7610915.jpg,1,Γαλοπούλα,Kg,,ab,27-11-2024,03-12-2024,
9,29125692,ΑΒ ΜΠΑΚΑΛΙΑΡΟΣ 300/500Γ Α/Κ ΕΙΣΑΓΩΓΗΣ,4.35,4.35,7072811.jpg,1,Ψάρια Κατεψυγμένα,Kg,,ab,27-11-2024,03-12-2024,
10,5202178001116,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠΟΣ  ΠΛΗΡΕΣ 1LT,1.49,1.49,7076755.jpg,0,Γάλα Φρέσκο Πλήρες,lt,,ab,27-11-2024,03-12-2024,
10,5202336155736,AB ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1LT,1.00,1.00,7729435.jpg,1,Γάλα Φρέσκο Πλήρες,lt,,ab,27-11-2024,03-12-2024,
11,5202178001178,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠ.ΕΛ.1.7% 1L,1.49,1.49,7076872.jpg,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,27-11-2024,03-12-2024,
11,5202336155712,AB ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.00,1.00,7729454.jpg,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,27-11-2024,03-12-2024,
12,5202336127627,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 7.8% ΠΛΗΡΕΣ 170G,0.39,2.29,7579709.jpg,1,Γάλα Εβαπορέ,lt,,ab,27-11-2024,03-12-2024,
12,5202336127641,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 4% LIGHT 170G,0.39,2.29,7579741.jpg,1,Γάλα Εβαπορέ,lt,,ab,27-11-2024,03-12-2024,
12,8716200673747,NOYNOY EBAΠΟΡΕ 6Χ400GR,6.41,2.67,7250153.jpg,0,Γάλα Εβαπορέ,lt,,ab,27-11-2024,03-12-2024,
12,8716200673761,NOYNOY LIGHT 6X400G,6.41,2.67,7250171.jpg,0,Γάλα Εβαπορέ,lt,,ab,27-11-2024,03-12-2024,
13,5201054001349,TOTAL 500ΓΡ,2.36,4.72,7078616.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,27-11-2024,03-12-2024,
13,5201054016886,TOTAL 500GR   0.50E,1.94,3.88,default_kalathi.png,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,27-11-2024,03-12-2024,
13,5202336035694,AB ΑΓΕΛΑΔΟΣ 3.9% ΓΙΑΟΥΡΤΙ 3Χ200ΓΡ,1.30,2.17,7080174.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,27-11-2024,03-12-2024,
14,5201054002711,TOTAL 2% 500ΓΡ,2.36,4.72,7079030.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,27-11-2024,03-12-2024,
14,5201054016879,TOTAL 2% 500GR  0.50E,1.94,3.88,default_kalathi.png,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,27-11-2024,03-12-2024,
14,5202336035700,AB ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2% 3Χ200ΓΡ,1.30,2.17,7080184.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,27-11-2024,03-12-2024,
15,5202336106974,ΑΒ ΦΕΤΑ ΠΟΠ ΤΡΙΠΟΛΕΩΣ 400G VACUUM,3.95,9.88,7309470.jpg,1,Τυρί Φέτα,kg,,ab,27-11-2024,03-12-2024,
16,5201953990713,GOUDA ΣΕ ΦΕΤΕΣ 400ΓΡ,2.75,6.88,7301299.jpg,1,Τυρί Γκούντα,kg,,ab,27-11-2024,03-12-2024,
17,15201953000419,GOUDA LIGHT ΣΕ ΦΕΤΕΣ 200GR,1.92,9.60,7303540.jpg,1,Τυρί με Χαμηλά Λιπαρά,kg,,ab,27-11-2024,03-12-2024,
18,5201066171771,ΚΥΚΝΟΣ PASSATA  7% ΧΑΡΤ/ΤΟ 500G,0.68,1.36,7085907.jpg,0,Χυμός Τομάτας Διατηρημένος,kg,,ab,27-11-2024,03-12-2024,
18,GRHC3270464,GUSTONA 6/8 ΠΑΣΑΤΑ ΤΟΜΑΤΑ 500G,0.53,1.06,7718936.jpg,1,Χυμός Τομάτας Διατηρημένος,kg,,ab,27-11-2024,03-12-2024,
19,5202336137152,AB ΑΥΓΑ 10ΑΔΑ ΑΧΥΡΩΝΑ LARGE 63/73GR,3.29,0.33,7624168.jpg,1,Αυγά,τμχ,,ab,27-11-2024,03-12-2024,
19,5202336137176,AB ΑΥΓΑ 12ΑΔΑ ΜΕDIUM 53/63GR,2.65,0.22,7624159.jpg,1,Αυγά,τμχ,,ab,27-11-2024,03-12-2024,
20,5208069003115,SUPER FRESCO ΜΑΡΓΑΡ.ΚΛΑΣΙΚΟ 200G,0.75,3.75,7633040.jpg,0,Μαργαρίνες,kg,,ab,27-11-2024,03-12-2024,
21,5202336008865,ΑΒ ΕΧΤΡΑ ΠΑΡΘ.ΕΛΑΙΟΛΑΔΟ 2LTΦ/ΠΛΑΣΤ,21.70,10.85,7062287.jpg,1,Παρθένο Ελαιόλαδο,lt,,ab,27-11-2024,03-12-2024,
22,8590421067727,GUSTONA ΗΛΙΕΛΑΙΟ 1LT,1.75,1.75,7735645.jpg,1,Ηλιέλαιο,lt,,ab,27-11-2024,03-12-2024,
23,5201310722292,ΥΦΑΝΤΗΣ ΑΡΑΚΑΣ 800G+200G ΔΩΡΟ,2.86,2.86,7637352.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,27-11-2024,03-12-2024,
23,5201310722315,ΥΦΑΝΤΗΣ ΦΑΣΟΛΙ ΣΤΡΟΓ. 800G+200G ΔΩΡΟ,2.58,2.58,7637367.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,27-11-2024,03-12-2024,
24,5202336024438,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε.1KG,0.80,0.80,7473026.jpg,1,Λευκή Ζάχαρη,kg,,ab,27-11-2024,03-12-2024,
24,5202336128600,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε. 1KG,0.80,0.80,7616633.jpg,1,Λευκή Ζάχαρη,kg,,ab,27-11-2024,03-12-2024,
25,3041091409812,NUTRICIA ΦΑΡΙΝ ΛΑΚΤΕ 250 ΓΡ,2.58,10.32,7475893.jpg,0,Κρέμες για βρέφη,kg,,ab,27-11-2024,03-12-2024,
26,5202353004819,ALMIRON 1+ GROWING UP  1LT,2.13,2.13,7068172.jpg,0,Γάλα για βρέφη,kg,,ab,27-11-2024,03-12-2024,
26,5202353004826,ALMIRON GROWING UP 2+  1LT,2.13,2.13,7068174.jpg,0,Γάλα για βρέφη,kg,,ab,27-11-2024,03-12-2024,
27,5201075011730,ΦΙΛΙΟΣ ΠΑΡΑΔΟΣΙΑΚΟΣ ΕΛ/ΚΟΣ ΚΑΦΕΣ 96GR,1.05,10.94,7727862.jpg,1,Ελληνικός Καφές,kg,,ab,27-11-2024,03-12-2024,
28,5202336139255,PERLA GOLD ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR,8.36,41.80,default_kalathi.png,1,Στιγμιαίος Καφές,kg,,ab,27-11-2024,03-12-2024,
28,5202336139293,PERLA ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR,6.80,34.00,7668972.jpg,1,Στιγμιαίος Καφές,kg,,ab,27-11-2024,03-12-2024,
29,8712500013269,GONDOLIERE ΚΑΦΕΣ ΦΙΛΤΡΟΥ 500Γ,5.35,10.70,7555374.jpg,1,Γαλλικός Καφές,kg,,ab,27-11-2024,03-12-2024,
30,7640110709481,CANDEREL STEVIA POWEDR 500G,6.61,13.22,7550004.jpg,0,Γλυκαντικές Ουσίες Κατάλληλες για Διαβητικούς,kg,,ab,27-11-2024,03-12-2024,
32,5201399011270,3ΑΛΦΑ ΦΑΚΕΣ ΨΙΛΕΣ 500GR ΕΙΣΑΓΩΓΗΣ,1.53,3.06,7085582.jpg,0,Φακές,kg,,ab,27-11-2024,03-12-2024,
32,5202336137633,ΑΒ ΦΑΚΕΣ ΨΙΛΕΣ 500G ΕΙΣΑΓΩΓΗΣ,0.94,1.88,7142787.jpg,1,Φακές,kg,,ab,27-11-2024,03-12-2024,
33,5202336024469,AB ΦΥΣΙΚΟΣ ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙ 1LT,1.05,1.05,7091821.jpg,1,Χυμός Πορτοκάλι,lt,,ab,27-11-2024,03-12-2024,
35,5202336128143,ΑΒ ΣΚΟΝΗ ΠΛΥΝΤ.ACTIVE CLEAN 75MEZ,6.59,0.09,7584379.jpg,1,Απορρυπαντικά Πλυντηρίου,μεζ,,ab,27-11-2024,03-12-2024,
36,5202336119462,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.FRESH 1250ML,0.93,0.74,7568693.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,27-11-2024,03-12-2024,
36,5202336127764,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.LEMON 1250ML,0.93,0.74,7568679.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,27-11-2024,03-12-2024,
36,5202336127801,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.PINK 1250ML,0.93,0.74,7568692.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,27-11-2024,03-12-2024,
37,5202336149544,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ REGULAR 500ML,0.95,1.90,7638032.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,27-11-2024,03-12-2024,
37,5202336149568,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ ΛΕΜΟΝΙ 500ML,0.95,1.90,7638021.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,27-11-2024,03-12-2024,
38,5202336021536,ΑΒ ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ 800GR,2.50,3.13,7114202.jpg,1,Χαρτί Κουζίνας,kg,,ab,27-11-2024,03-12-2024,
39,8006540948163,ORALB ΟΔ/ΜΑ 1 2 3 75ML,1.08,14.40,7111750.jpg,0,Οδοντόκρεμα,kg,,ab,27-11-2024,03-12-2024,
40,5202336111510,365 ΧΑΡΤΙ ΥΓΕΙΑΣ 10ΡΟΛΑ 2PLY,2.46,0.25,7353743.jpg,1,Χαρτί Υγείας,τμχ,,ab,27-11-2024,03-12-2024,
41,5400113567189,CARE TAMPON CONT REGULAR 32T,2.66,0.08,7298195.jpg,1,Σερβιέτες ή Ταμπόν,τμχ,,ab,27-11-2024,03-12-2024,
41,8006540093849,ALWAYS ULTRA SECUR NIGHT EXTRA 10Τ,2.41,0.24,default_kalathi.png,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,27-11-2024,03-12-2024,
41,8700216171311,ALWAYS ULTRA NORMAL PLUS 20T,2.20,0.11,default_kalathi.png,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,27-11-2024,03-12-2024,
41,8700216171380,ALWAYS ULTRA LONG PLUS 18T,2.16,0.12,default_kalathi.png,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,27-11-2024,03-12-2024,
41,8700216171458,ALWAYS ULTRA NIGHT 16T,2.20,0.14,default_kalathi.png,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,27-11-2024,03-12-2024,
42,8590421070512,EMMA ΝΙΦΑΔΕΣ ΒΡΩΜΗΣ 500GR,0.98,1.96,7685010.jpg,1,Προϊόντα Βρώμης,kg,,ab,27-11-2024,03-12-2024,
43,5201109002703,KARAVAKI ΣΑΜΠ.ΘΡΕΨΗ&ΕΝΥΔ.ΑΝΤΛ.600ML,2.67,4.45,7617092.jpg,0,Σαμπουάν,lt,,ab,27-11-2024,03-12-2024,
44,5202336134403,CARE ΣΑΠΟΥΝΙ 3X125G,1.05,2.80,7614235.jpg,1,Σαπούνι Στερεό,kg,,ab,27-11-2024,03-12-2024,
45,5201263083501,SANI ΑΝΟΙΧΤΗ ΠΑΝΑ MEDIUM N2 15T,7.48,0.50,7124225.jpg,0,Πάνες Ακράτειας,τμχ,,ab,27-11-2024,03-12-2024,
45,5201263083518,SANI ΑΝΟΙΧΤΗ ΠΑΝΑ LARGE N3 12T,7.48,0.62,7124226.jpg,0,Πάνες Ακράτειας,τμχ,,ab,27-11-2024,03-12-2024,
45,5201263083631,SANI ΑΝΟΙΧΤΗ ΠΑΝΑ EXTR.LARGE N4 10T,7.48,0.75,7113562.jpg,0,Πάνες Ακράτειας,τμχ,,ab,27-11-2024,03-12-2024,
45,5201263086601,SANI PANTS SMALL NO1 14T,6.45,0.46,7128027.jpg,0,Πάνες Ακράτειας,τμχ,,ab,27-11-2024,03-12-2024,
