CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,name
52,26322254,ΝΙΤΣΙΑΚΟΣ ΒΟΕΙΟ ΕΛ.ΕΚΤΡ ΛΑΠΑ-ΣΤΗΘΟΣ 5Μ,11.20,11.20,default_kalathi.png,1,Μοσχάρι,kg,xmas,ab,05-02-2025,11-02-2025,
52,GR9375,ΒΟΕΙΟ ΣΤΗΘΟΣ ΚΑΙ ΛΑΠΑ Α/Ο ΕΛΛ,11.20,11.20,default_kalathi.png,1,Μοσχάρι,kg,xmas,ab,05-02-2025,11-02-2025,
1,5201399020074,3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 500GR Ε.Ε.,1.75,3.50,7085666.jpg,0,Ρύζι,Kg,,ab,05-02-2025,11-02-2025,
1,5202336158133,ΑΒ ΕΠΙΛΟΓΗ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1KG,1.79,1.79,7637204.jpg,1,Ρύζι,Kg,,ab,05-02-2025,11-02-2025,
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ab,05-02-2025,11-02-2025,
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,1,Ψωμί Φραντζόλα,Kg,,ab,05-02-2025,11-02-2025,
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ab,05-02-2025,11-02-2025,
4,5202336010820,ΑΒ ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ  4/PACK 500GR,1.38,2.76,7123728.jpg,1,Φρυγανιές,Kg,,ab,05-02-2025,11-02-2025,
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,0.67,1.34,7467309.jpg,0,Μακαρόνια Νο 6,Kg,,ab,05-02-2025,11-02-2025,
6,27093252,ΣΠΑΛΑ Α/Ο ΧΟΙΡΙΝΗ ΕΛΛΗΝΙΚΗ,8.20,8.20,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ab,05-02-2025,11-02-2025,
7,27025864,AB ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ,3.75,3.75,7603950.jpg,1,Νωπό Κοτόπουλο Ολόκληρο,Kg,,ab,05-02-2025,11-02-2025,
8,29663514,ΓΑΛΟΠΟΥΛΑ ΒΡΑΣΤΗ TOSTAKI,7.70,7.70,7141275.jpg,0,Γαλοπούλα,Kg,,ab,05-02-2025,11-02-2025,
