CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΚΑΤΗΓΟΡΙΑ
46,80007410,BABYLINO SENSITIVE  ECON. ΝΟ5+ 12-17KG/42T,10.55,0.25,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,08-01-2025,14-01-2025,Πάνες για μωρά
46,80042934,BABYLINO ΠΑΝΕΣ SENS.ECON. ΝΟ6 13-18KG 38T,10.55,0.28,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,08-01-2025,14-01-2025,Πάνες για μωρά
46,80042935,BABYLINO SENSITIVE ECON. ΝΟ7 15+KG/36Τ,10.55,0.29,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,08-01-2025,14-01-2025,Πάνες για μωρά
47,80040359,SEPTONA ΜΩΡΟΜ/ΛΑ DERMASOFT FAMILY 100T,1.22,0.01,default_kalathi.png,0,Μωρομάντηλα,τμχ,,galaxias,08-01-2025,14-01-2025,Είδη ατομικής υγιεινής για μωρά (μωρομάντηλα)
48,80011886,ΓΑΛΑΞΙΑΣ ΒΡΕΦ.ΑΦΡ.&ΣΑΜ.0+DELIC.CHAM.400M,1.79,4.48,default_kalathi.png,1,Σαμπουάν για Μωρά,lt,,galaxias,08-01-2025,14-01-2025,Σαμπουάν για μωρά
48,80011887,ΓΑΛΑΞΙΑΣ ΒΡΕΦ.ΑΦΡ.&ΣΑΜ.0+SWEET LAV.400M,1.79,4.48,default_kalathi.png,1,Σαμπουάν για Μωρά,lt,,galaxias,08-01-2025,14-01-2025,Σαμπουάν για μωρά
48,80006834,SEPTONA BABY ΣΑΜ.&ΑΦΡ/ΤΡΟ ΒΑΛ.&ΑΛΟΗ 500ML,2.43,4.86,default_kalathi.png,0,Σαμπουάν για Μωρά,lt,,galaxias,08-01-2025,14-01-2025,Σαμπουάν για μωρά
49,431220,FLIK - FLOK ΣΚΥΛΟΤΡΟΦΗ ΒΟΔΙΝΟ & ΚΑΡΔΙΑ 1250ΓΡ.,1.98,1.58,default_kalathi.png,0,Τροφή για Σκύλους,kg,,galaxias,08-01-2025,14-01-2025,Τροφή για σκύλους
49,431221,FLIK - FLOK ΣΚΥΛΟΤΡΟΦΗ ΒΟΔΙΝΟ & ΛΑΧANIKA 1250ΓΡ.,1.98,1.58,default_kalathi.png,0,Τροφή για Σκύλους,kg,,galaxias,08-01-2025,14-01-2025,Τροφή για σκύλους
49,431218,FLIK - FLOK ΣΚΥΛΟΤΡΟΦΗ ΚΟΤΟΠΟΥΛΟ/ΓΑΛΟΠΟΥΛΑ 1250ΓΡ.,1.98,1.58,default_kalathi.png,0,Τροφή για Σκύλους,kg,,galaxias,08-01-2025,14-01-2025,Τροφή για σκύλους
50,431222,FLIK - FLOK ΓΑΤΟΤΡΟΦΗ ΒΟΔΙΝΟ & ΚΑΡΔΙΑ 405ΓΡ.,0.85,2.10,default_kalathi.png,0,Τροφή για γάτες,kg,,galaxias,08-01-2025,14-01-2025,Τροφή για γάτες
50,431223,FLIK - FLOK ΓΑΤ/ΦΗ ΚΟΤΟΠ.-ΓΑΛΟΠ.405ΓΡ.,0.85,2.10,default_kalathi.png,0,Τροφή για γάτες,kg,,galaxias,08-01-2025,14-01-2025,Τροφή για γάτες
50,431311,FLIK - FLOK ΓΑΤΟΤΡΟΦΗ ΨΑΡΙ - ΣΟΛΟΜΟΣ 405ΓΡ.,0.85,2.10,default_kalathi.png,0,Τροφή για γάτες,kg,,galaxias,08-01-2025,14-01-2025,Τροφή για γάτες
51,2101016,ΑΛΛΑΤΙΝΗ 2+1ΔΩΡΟ ΓΟΧ. ΑΛΕΥΡΙ 1KG,3.40,1.13,default_kalathi.png,0,Αλεύρι,kg,,galaxias,08-01-2025,14-01-2025,Αλεύρι για όλες τις χρήσεις
53,381052,TOSTAKI ΠΑΡΙΖΑ ΤΟΣΤ,4.61,4.61,default_kalathi.png,0,Πάριζα,kg,,galaxias,08-01-2025,14-01-2025,Πάριζα
53,80023641,ΠΑΣΣΙΑΣ Χ.ΓΛΟΥΤ. ΠΑΡΙΖΑ ΦΟΡΜΑ,5.25,5.25,default_kalathi.png,0,Πάριζα,kg,,galaxias,08-01-2025,14-01-2025,Πάριζα
53,80011904,TOSTAKI ΠΑΡΙΖΑ ΦΕΤΕΣ 160ΓΡ.,1.12,7.00,default_kalathi.png,0,Πάριζα,kg,,galaxias,08-01-2025,14-01-2025,Πάριζα
54,80043526,ALPILAND ΓΑΛΑ ΥΨΗΛΗΣ ESL 3.5% ΛΙΠ. 1LT ,1.27,1.27,default_kalathi.png,0,Γάλα υψηλής παστερίωσης πλήρες,kg,,galaxias,08-01-2025,14-01-2025,Γάλα υψηλής παστερίωσης 
55,80043527,ALPILAND ΓΑΛΑ ΥΨΗΛΗΣ ESL 1.5% ΛΙΠ. 1LT  ,1.27,1.27,default_kalathi.png,0,Γάλα παστερίωσης με χαμηλά λιπαρά,kg,,galaxias,08-01-2025,14-01-2025,Γάλα υψηλής παστερίωσης με χαμηλά λιπαρά
56,350227,ΛΕΥΚΟ ΑΓΕΛΑΔΙΝΟ ΤΡΙΚΑΛΩΝ (ΠΡ.ΓΑΛ.ΕΕ),5.98,5.98,default_kalathi.png,0,Λευκό τυρί,kg,,galaxias,08-01-2025,14-01-2025,Λευκό τυρί
57,80032407,ΑΡΙΣΤΟΝ ΦΑΣΟΛΙΑ ΜΕΤΡΙΑ 1KG,2.98,2.98,default_kalathi.png,0,Φασόλια,kg,,galaxias,08-01-2025,14-01-2025,Όσπρια (Φασόλια)
58,80030709,ΑΡΙΣΤΟΝ ΡΕΒΥΘΙΑ ΧΟΝΔΡΑ 1KG,3.38,3.38,default_kalathi.png,0,Ρεβύθια,kg,,galaxias,08-01-2025,14-01-2025,Όσπρια (ρεβύθια)
52,2120246000000,ΠΑΣΣΙΑΣ ΝΕΑΡ. ΒΟΕΙΟ Α/Ο ΣΠΑΛΑ ΣΥΣΚΕΥΑΣΙΑΣ,11.95,11.95,52_Passias_Spala_Voeia.jpg,0,Μοσχάρι,kg,xmas,egnatia,08-01-2025,14-01-2025,
1,5200385113516,ΔΙΑΛΕΧΤΗ ΣΟΔΕΙΑ  ΡΥΖΙ ΓΛΑΣΕ 1Kg,1.69,1.69,1_Dialehti_Glase_1000gr.jpg,1,Ρύζι,Kg,,egnatia,08-01-2025,14-01-2025,
2,5200385112601,ΠΕΤΡΙΝΟΣ ΦΟΥΡΝΟΣ ΨΩΜΙ ΤΟΣΤ ΣΤΑΡΕΝΙΟ 700g,1.29,1.84,2_PetrinosFournos_Pswmi_Tou_Tost_Starenio_700gr.jpg,1,Ψωμί για Tοστ,Kg,,egnatia,08-01-2025,14-01-2025,
3,9300008712730,ΨΩΜΙ ΦΡΑΝΤΖΟΛΑ 350g (BAKE OFF),0.69,1.97,3_leuki_fratzola.jpg,1,Ψωμί Φραντζόλα,Kg,,egnatia,08-01-2025,14-01-2025,
4,5201485008009,FORMA ΦΡΥΓΑΝΙΕΣ ΣΙΚΑΛΗΣ -0.50€ 360g,1.29,3.58,4_Forma_Friganies_Sikalis_0.50.jpg,0,Φρυγανιές,Kg,,egnatia,08-01-2025,14-01-2025,
5,5200385114018,ΕΛΛΗΝΩΝ ΣΤΑΧΥ ΣΠΑΓΓΕΤΙ Νο 6 500g,0.62,1.24,5_Ellinwn_Stahi_Spaggeti_No6.jpg,1,Μακαρόνια Νο 6,Kg,,egnatia,08-01-2025,14-01-2025,
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ Νο6 500g,0.77,1.54,5_makvel_spaggeti_no6_500g.png,0,Μακαρόνια Νο 6,Kg,,egnatia,08-01-2025,14-01-2025,
6,5202077003518,ΠΑΣΣΙΑΣ ΚΙΜΑΣ ΧΟΙΡΙΝΟΣ 700g,4.49,6.41,6_Passias_Kimas_Hoirinos_700g.jpg,0,Νωπό Χοιρινό,Kg,,egnatia,08-01-2025,14-01-2025,
7,2947407000000,ΑΜΒΡΟΣΙΑΔΗ  ΦΤΕΡΑ ΚΟΤΟΠΟΥΛΟ ΣΥΣΚΕΥΑΣΜΕΝΟ,2.49,2.49,7_AmvrosiadisFterougesKotopoulo.jpg,0,Νωπό Κοτόπουλο Ολόκληρο,Kg,,egnatia,08-01-2025,14-01-2025,
8,5200385105351,ΕΚΛΕΚΤΟ ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ 450g ΦΕΤΕΣ  MEGA PACK,3.99,8.87,8_Eklekto_Galopoula_Kapnisti_Mega_Pack.jpg,1,Γαλοπούλα,Kg,,egnatia,08-01-2025,14-01-2025,
9,5200702500678,REDDA            ΠΑΓΚΑΣΙΟΥΣ 1Kg,3.99,3.99,9_Redda_Pangasious_Fileto.jpg,0,Ψάρια Κατεψυγμένα,Kg,,egnatia,08-01-2025,14-01-2025,
10,5200385103111,ΦΑΡΜΕΣ ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ ΦΡΕΣΚΟ ΓΑΛΑ 3.5% 1L,1.09,1.09,10_OiFarmes_Mas_Gala_Plires (002).jpg,1,Γάλα Φρέσκο Πλήρες,lt,,egnatia,08-01-2025,14-01-2025,
10,5201083010367,ΜΕΒΓΑΛ ΓΑΛΑ 3.5% 1L                       ,1.29,1.29,10_Mevgal_Gala_35.jpg,0,Γάλα Φρέσκο Πλήρες,lt,,egnatia,08-01-2025,14-01-2025,
11,5200385103128,ΦΑΡΜΕΣ ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ ΦΡΕΣΚΟ ΓΑΛΑ 1.5% 1L,1.09,1.09,11_OiFarmes_Mas_Gala_Elafry (002).jpg,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,egnatia,08-01-2025,14-01-2025,
11,5201083010169,ΜΕΒΓΑΛ ΓΑΛΑ 1.5% 1L       ,1.29,1.29,11_Mevgal_Gala_15.jpg,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,egnatia,08-01-2025,14-01-2025,
12,5202453033979,MILK TIME ΣΥΜΠ/ΝΟ ΕΛΑΦΡΥ 4% 410g,0.89,2.17,12_milk_time_75.jpg,0,Γάλα Εβαπορέ,lt,,egnatia,08-01-2025,14-01-2025,
12,8716200615020,ΝΟΥΝΟΥ ΓΑΛΑ       ΕΒΑΠΟΡΕ 400g,1.29,3.23,12_nounou_400g.png,0,Γάλα Εβαπορέ,lt,,egnatia,08-01-2025,14-01-2025,
13,5200385103012,ΦΑΡΜΕΣ ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 3x200g,1.39,2.32,13_Farmes_giaourti_3x200g_plires (002).jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,egnatia,08-01-2025,14-01-2025,
13,5201083320596,ΜΕΒΓΑΛ ΑΓΕΛΑΔΟΣ  3.85% (2+1Δ)200g    ,2.15,3.77,13_Mevgal_Giaourti_Agelados_3x200_2sin1Doro.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,egnatia,08-01-2025,14-01-2025,
14,5200385103036,ΦΑΡΜΕΣ ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2% 3x200g,1.39,2.32,14_Farmes_giaourti_3x200g_elafry.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,egnatia,08-01-2025,14-01-2025,
14,5201083322620,ΜΕΒΓΑΛ ONLY 2% Χ.ΛΑΚΤ. 2+1Δ 3x200g     ,2.08,3.65,14_mevgal_only_2_3x200_2sin1Doro.png,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,egnatia,08-01-2025,14-01-2025,
15,5204929250316,ΛΕΣΒΙΓΑΛ ΤΥΡΙ ΦΕΤΑ 800g,8.49,10.61,15_Lesvigal_FETA_800gr_V2.jpg,0,Τυρί Φέτα,kg,,egnatia,08-01-2025,14-01-2025,
16,5201953010091,TASTE&SMILE GOUDA ΣΕ ΦΕΤΕΣ 500g,3.79,7.58,16_taste&smile_gouda_500g.jpg,0,Τυρί Γκούντα,kg,,egnatia,08-01-2025,14-01-2025,
17,5200385107553,ΧΩΡΙΑΝΟ ΗΜΙΣΚΛΗΡΟ ΤΥΡΙ ΕΛΑΦΡΥ 200g,1.89,9.45,17_Xwriano_Elafry_Sefetes_Skafaki_200GR_KOLIOS.jpg,1,Τυρί με Χαμηλά Λιπαρά,kg,,egnatia,08-01-2025,14-01-2025,
18,5200385116524,ΤΟΜΑΤΟΥΛΑ ΨΙΛΟΚ. ΤΟΜΑΤΕΣ 400g,0.62,1.48,18_Tomatoula_Psilokommenes-400gr.jpg,1,Χυμός Τομάτας Διατηρημένος,kg,,egnatia,08-01-2025,14-01-2025,
18,5201034049101,PUMMARO PASSATA     3x250g  ,1.49,1.99,18_pummaro_passata_3x250g.jpg,0,Χυμός Τομάτας Διατηρημένος,kg,,egnatia,08-01-2025,14-01-2025,
19,5200104421168,ΑΥΓΑ 15ΑΔΑ 53ΓΡ ,3.39,0.23,19_Auga_15ada-Small_53gr (002).jpg,0,Αυγά,τμχ,,egnatia,08-01-2025,14-01-2025,
20,3800047745998,BELLA ΜΑΡΓΑΡΙΝΗ  ΠΛΑΚΑΚΙ 250g,0.99,3.96,20_Bella_Margarini_plakaki.jpg,0,Μαργαρίνες,kg,,egnatia,08-01-2025,14-01-2025,
21,5200342701916,ΔΙΑΛΕΚΤΟ ΠΑΡΘΕΝΟ ΕΛΑΙΟΛΑΔΟ 1L,8.79,8.79,21_Dialehto_ParthenoElaiolado_1lit.jpg,0,Παρθένο Ελαιόλαδο,lt,,egnatia,08-01-2025,14-01-2025,
22,5200385116029,ΔΙΑΛΕΧΤΗ ΣΟΔΕΙΑ ΗΛΙΕΛΑΙΟ 1Λ,1.79,1.79,22_DialehtiSodeia_Ilielaio_1L.jpg,1,Ηλιέλαιο,lt,,egnatia,08-01-2025,14-01-2025,
23,5206783005972,ΒΛΑΣΤΑΡΙ ΑΡΑΚΑΣ  1Kg,1.89,1.89,23_arakas_vlastari_1kg.png,0,Λαχανικά Κατεψυγμένα,kg,,egnatia,08-01-2025,14-01-2025,
23,5206783090114,ΕΚΛΕΚΤΗ ΣΟΔΕΙΑ ΜΠΑΜΙΕΣ No1 750g,3.49,4.52,23_EklektiSodeia_Mpamies_No1.jpg,1,Λαχανικά Κατεψυγμένα,kg,,egnatia,08-01-2025,14-01-2025,
24,5200103120017,ROYAL ΖΑΧΑΡΗ     ΠΑΚΕΤΟ 1Kg,0.79,0.79,24_Royal_Zahari_1kg (002).jpg,0,Λευκή Ζάχαρη,kg,,egnatia,08-01-2025,14-01-2025,
25,5201002013790,ΓΙΩΤΗΣ ΦΑΡΙΝ ΛΑΚΤΕ -0.20€ 300g,2.79,9.3,25_Giotis_Farin_Lakte_20.jpg,0,Κρέμες για βρέφη,kg,,egnatia,08-01-2025,14-01-2025,
27,5200385110089,ΑΡΩΜΑ ΕΛΛΗΝΙΚΟΥ ΚΑΦΕ 96g,1.69,17.6,27_ArwmaEllinikouCafe_Paradosiakos_96g.jpg,1,Ελληνικός Καφές,kg,,egnatia,08-01-2025,14-01-2025,
28,8411010215209,EL CAFETO ΣΤΙΓΜ. ΚΑΦΕΣ ΒΑΖΟ 200g,4.79,23.95,28_el_cafeto_stigmiaios_vazo_200g.jpg,0,Στιγμιαίος Καφές,kg,,egnatia,08-01-2025,14-01-2025,
29,5200385110058,AROME DU CAFE ΦΙΛΤΡΟΥ 250g,3.89,15.56,29_AromeDuCafe_KafesFiltrou.jpg,1,Γαλλικός Καφές,kg,,egnatia,08-01-2025,14-01-2025,
30,4021155109185,SUCOFIN ΕΠΙΤΡΑΠ. ΓΛΥΚΑΝΤ.1200Τ 72g,2.35,32.64,30_Sucofin_Epitrapezio_Glikantiko_1200Τ_72g (002).jpeg,0,Γλυκαντικές Ουσίες Κατάλληλες για Διαβητικούς,kg,,egnatia,08-01-2025,14-01-2025,
32,5201237203263,ΩΜΕΓΑ ΦΑΚΕΣ ΨΙΛΕΣ 500g,1.25,2.5,32_Omega_Fakes_500gr.jpg,0,Φακές,kg,,egnatia,08-01-2025,14-01-2025,
33,5201156210984,ΗΒΗ ΦΥΣΙΚΟΣ ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙ 1L,1.29,1.29,33_ivi_fisikos_portikali_1l.jpg,0,Χυμός Πορτοκάλι,lt,,egnatia,08-01-2025,14-01-2025,
35,5200116071351,AXION ΥΓΡΟ ΠΛΥΝΤΗΡΙΟΥ ΡΟΥΧΩΝ  3L,3.25,1.08,35_Axion_45Mez_3L.jpg,0,Απορρυπαντικά Πλυντηρίου,μεζ,,egnatia,08-01-2025,14-01-2025,
36,5200250703002,REX ΥΓΡΟ ΓΕΝΙΚΟΥ ΚΑΘΑΡΙΣΜΟΥ  1L,0.99,0.99,36_Rex_Ygro_GenikouKatharismou_Kokkina_Louloudia.jpg,0,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,egnatia,08-01-2025,14-01-2025,
37,5200100900063,RICO ΥΓΡΟ ΠΙΑΤΩΝ 750ml,0.99,1.32,37_Rico_YgroPiaton_PrasinoMilo.jpg,0,Απορρυπαντικά Πιάτων,lt,,egnatia,08-01-2025,14-01-2025,
38,5200385180112,ΑΠΑΛΟ ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ MEGA PACK 1Kg ,2.99,2.99,38_Apalo_Harti_Kouzinas_mega_1kg.jpg,1,Χαρτί Κουζίνας,kg,,egnatia,08-01-2025,14-01-2025,
39,6920354836176,COLGATE ΟΔΟΝΤ/ΜΑ CAVITY PROT. 75ml,1.29,17.2,39_Colgate_Odontokrema_75ml.jpg,0,Οδοντόκρεμα,kg,,egnatia,08-01-2025,14-01-2025,
40,5200385180099,ΑΠΑΛΟ ΧΑΔΙ ΧΑΡΤΙ ΥΓΕΙΑΣ ΓΚΟΦΡΕ 10ΡΟΛΑ,2.39,0.234,40_Apalo_HartiYgeias_Gkofre_10Rola.jpg,1,Χαρτί Υγείας,τμχ,,egnatia,08-01-2025,14-01-2025,
41,8700216171311,ALWAYS ULTRA ΣΕΡΒΙΕΤΕΣ VALUE PACK,2.24,0.11,41_always_normal_20tem.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,egnatia,08-01-2025,14-01-2025,
42,5202453036680,SUNNY BREAKFAST ΝΙΦΑΔΕΣ ΒΡΩΜΗΣ 500g,0.99,1.98,42_Sunny_Breakfast_Nifades_Vromis_500g (002).jpg,0,Προϊόντα Βρώμης,kg,,egnatia,08-01-2025,14-01-2025,
43,5200385190258,GLAM ΣΑΜΠΟΥΑΝ ΛΙΠΑΡΑ 400ml,1.79,4.48,43_Glam_Sampouan_Kanonika_400ml.jpg,0,Σαμπουάν,lt,,egnatia,08-01-2025,14-01-2025,
43,5202663035541,FARCOM HD ΣΑΜΠΟΥΑΝ 400ml ,2.45,6.13,43_farcom_shampoo_400ml.jpg,0,Σαμπουάν,lt,,egnatia,08-01-2025,14-01-2025,
44,5201109006497,ΚΑΡΑΒΑΚΙ ΣΑΠΟΥΝΙ 4x125g,2.49,4.98,44_karavaki_sapouni_4x125g.jpg,0,Σαπούνι Στερεό,kg,,egnatia,08-01-2025,14-01-2025,
45,5200352500899,STROMA PAD ΠΑΝΕΣ ΕΝΗΛΙΚΩΝ Νο3 12ΤΕΜ,6.49,0.54,45_Stroma_Pad_large_no3_12t.jpg,0,Πάνες Ακράτειας,τμχ,,egnatia,08-01-2025,14-01-2025,
46,5201263082580,BABYLINO SENS.   ΧΑΜΟΜΗΛΙ,9.99,0.23,46_Babylino_Sensitive_Panes_No4_50Tem.jpg,0,Πάνες για Μωρά,τμχ,,egnatia,08-01-2025,14-01-2025,
47,3800214410377,LINDY ΜΩΡΟΜΑΝΤΗΛΑ ΜΕ ALOE VERA 64ΤΕΜ,0.79,0.01,47_Lindy_Moromantila.jpg,0,Μωρομάντηλα,τμχ,,egnatia,08-01-2025,14-01-2025,
48,5203216000337,MISS SANDY ΠΑΙΔΙΚΟ ΣΑΜΠΟΥΑΝ 750ml,1.99,2.65,48_Miss_Sandy_Paidiko_Shampoo_750ml.jpg,0,Σαμπουάν για Μωρά,lt,,egnatia,08-01-2025,14-01-2025,
49,5200399101424,SNIKY ΚΡΟΚΕΤΕΣ ΣΚΥΛΟΥ 4Kg  ,4.69,1.17,49_Sniky_Dog_4kg.jpg,0,Τροφή για Σκύλους,kg,,egnatia,08-01-2025,14-01-2025,
50,5200399101400,SNIKY ΤΡΟΦΗ ΓΑΤΑΣ ΚΡΟΚΕΤΕΣ 2Kg,3.49,1.75,50_Sniky_Cat_Gatotrofi_Meat_2Kg.jpg,0,Τροφή για γάτες,kg,,egnatia,08-01-2025,14-01-2025,
51,5202453033719,ΜΕ ΤΟΝ ΠΛΑΣΤΗ ΑΛΕΥΡΙ 1Kg,0.67,0.67,51_Me_Ton_Plasti_Aleuri_1kg.jpg,0,Αλεύρι,kg,,egnatia,08-01-2025,14-01-2025,
51,5201544100293,ΑΛΕΥΡΙ ΓΟΧ ΜΥΛΟΙ  Α.Γ.1kg-0.38€,1.29,1.29,51_miloi_ag_georgiou_aleuri_gox_1kg_meion38lepta.png,0,Αλεύρι,kg,,egnatia,08-01-2025,14-01-2025,
53,5200385105023,ΕΚΛΕΚΤΟ ΠΑΡΙΖΑ ΣΕ ΦΕΤΕΣ 180g  ,0.95,5.28,8_Eklekto_Pariza_SeFetes_180gr.jpg,1,Πάριζα,kg,,egnatia,08-01-2025,14-01-2025,
54,5900820015978,HAPPY BARN ΓΑΛΑ UHT 1L 3.5%,1.07,1.07,54_gala_uht_star_milk_3.5_lipara.jpg,0,Γάλα υψηλής παστερίωσης πλήρες,kg,,egnatia,08-01-2025,14-01-2025,
55,5206546002200,ΟΡΕΙΝΟ ΓΑΛΑ UHT 1L 1.5%,1.06,1.06,55_to_oreino_mas_gala_1.5lt.jpg,0,Γάλα παστερίωσης με χαμηλά λιπαρά,kg,,egnatia,08-01-2025,14-01-2025,
56,5203197138531,ΜΠΕΛΑΣ ΒΕΡΜΙΝΟ   ΛΕΥΚΟ ΤΥΡΙ 400g,2.59,6.48,56_mpelas_vermino_leyko_tyri_400g.jpg,1,Λευκό τυρί,kg,,egnatia,08-01-2025,14-01-2025,
57,5201237203249,ΩΜΕΓΑ SP.ΦΑΣΟΛΙΑ ΜΕΤΡΙΑ 500g,1.45,2.9,57_Omega_Fasolia_Metria500g.jpg,0,Φασόλια,kg,,egnatia,08-01-2025,14-01-2025,
58,5202988004277,AL-CO ΡΕΒΙΘΙΑ500g,1.65,3.3,58_Alco_Revithia_500g.jpg,0,Ρεβύθια,kg,,egnatia,08-01-2025,14-01-2025,
52,2120009000000,ΒΟΕΙΟΝ ΦΙΛΕΤΟ ΝΕΑΡΟΥ ΖΩΟΥ ΕΛΛΗΝΙΚΟ,18.90,18.90,040036.png,0,Μοσχάρι,kg,xmas,kantzas,08-01-2025,14-01-2025,
1,5204458021067,ΕΛΟΜΑΣ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1Κ,1.44,1.44,021839.png,1,Ρύζι,Kg,,kantzas,08-01-2025,14-01-2025,
2,5201485009464,ΚΡΙΣ ΚΡΙΣ ΤΟΣΤΙΜΟ ΣΤΑΡΕΝΙΟ 380ΓΡ,0.99,2.61,020994.png,0,Ψωμί για Tοστ,Kg,,kantzas,08-01-2025,14-01-2025,
3,021954,ΑΡΤ/ΜΑ ΚΑΣΟΥ ΜΕ ΠΡΟΖΥΜΙ 350ΓΡ,1.00,2.86,021954.png,1,Ψωμί Φραντζόλα,Kg,,kantzas,08-01-2025,14-01-2025,
4,5201017000105,ΦΟΡΜΑ ΦΡΥΓΑΝΙΑ ΣΤΑΡΕΝΙΑ(3+1)500ΓΡ,1.20,2.31,016634.png,0,Φρυγανιές,Kg,,kantzas,08-01-2025,14-01-2025,
5,5201107912608,ΑΒΕΖ ΜΑΚΑΡΟΝΙΑ Νο6 500ΓΡ,0.74,1.48,001381.png,0,Μακαρόνια Νο 6,Kg,,kantzas,08-01-2025,14-01-2025,
6,2125009,ΣΝΙΤΣΕΛ ΧΟΙΡΙΝΟ Α/Ο ΕΛΛΗΝΙΚΟ.,6.95,6.95,040014.png,0,Νωπό Χοιρινό,Kg,,kantzas,08-01-2025,14-01-2025,
7,2130026000000,ΚΟΤΟΠΟΥΛΟ ΜΠΟΥΤΙ ΝΩΠΟ ΧΥΜΑ ΕΛΛ(ΑΜΒΡΟΣΙΑΔΗ),3.75,3.75,076804.png,0,Νωπό Κοτόπουλο Ολόκληρο,Kg,,kantzas,08-01-2025,14-01-2025,
8,2102000000000,ΜΙΚΡΕΣ ΦΑΡΜΕΣ ΣΕΡΡΩΝ ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ,6.87,6.87,078002.png,0,Γαλοπούλα,Kg,,kantzas,08-01-2025,14-01-2025,
9,5200117501253,ΔΑΣΚΑΛΑΚΗ ΓΛΩΣΣΑ ΦΙΛΕΤΟ ΛΙΜ.90/120 700ΓΡ,5.86,8.37,075348.png,0,Ψάρια Κατεψυγμένα,Kg,,kantzas,08-01-2025,14-01-2025,
10,5202234510101,ΚΡΙΚΡΙ ΓΑΛΑ ΠΛΗΡΕΣ 1L 3.5%(-0.20Ε),1.18,1.18,052236.png,0,Γάλα Φρέσκο Πλήρες,lt,,kantzas,08-01-2025,14-01-2025,
11,5202234511115,ΚΡΙΚΡΙ ΓΑΛΑ ΕΛΑΦΡY 1L 1.5%(-0.20Ε),1.18,1.18,052237.png,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,kantzas,08-01-2025,14-01-2025,
12,5204458000017,ΕΛΟΜΑΣ ΓΑΛΑ ΣΥΜΠ. ΠΛΗΡΕΣ 7.5%ΛΙΠ. 410ΓΡ,0.93,2.27,078063.png,1,Γάλα Εβαπορέ,lt,,kantzas,08-01-2025,14-01-2025,
13,5204458018067,ΕΛΟΜΑΣ ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 3.85% 200ΓΡx3T,1.85,3.08,028773.png,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,kantzas,08-01-2025,14-01-2025,
14,5204458018098,ΕΛΟΜΑΣ ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2%Λ 3Χ200ΓΡ,1.85,3.08,020350.png,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,kantzas,08-01-2025,14-01-2025,
15,2101020000000,ΦΕΤΑ ΒΕΡΟΙΑΣ ΠΟΠ,8.90,8.90,021379.png,0,Τυρί Φέτα,kg,,kantzas,08-01-2025,14-01-2025,
16,5206546001302,ΤΟ ΔΙΑΛΕΓΜΕΝΟ GOUDA 48% ΦΕΤΕΣ 200ΓΡ,2.28,11.40,064370.png,1,Τυρί Γκούντα,kg,,kantzas,08-01-2025,14-01-2025,
17,5206546001319,ΤΟ ΔΙΑΛΕΓΜΕΝΟ GOUDA LIGHT ΦΕΤΕΣ 200ΓΡ,2.15,10.75,064373.png,1,Τυρί με Χαμηλά Λιπαρά,kg,,kantzas,08-01-2025,14-01-2025,
