CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null
1,5201399020074,3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 500GR Ε.Ε.,1.53,3.06,7085666.jpg,0,Ρύζι,Kg,,ab,13-11-2024,19-11-2024,
1,5202336158133,ΑΒ ΕΠΙΛΟΓΗ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1KG,1.79,1.79,default_kalathi.png,1,Ρύζι,Kg,,ab,13-11-2024,19-11-2024,
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ab,13-11-2024,19-11-2024,
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,1,Ψωμί Φραντζόλα,Kg,,ab,13-11-2024,19-11-2024,
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ab,13-11-2024,19-11-2024,
4,5201485006494,ΦΡ. ELITE CL.OΛ.ΑΛΕΣ.4Χ90GR 3+1ΔΩΡ,1.49,4.14,7070501.jpg,0,Φρυγανιές,Kg,,ab,13-11-2024,19-11-2024,
4,5202336010820,ΑΒ ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ  4/PACK 500GR,1.38,2.76,7123728.jpg,1,Φρυγανιές,Kg,,ab,13-11-2024,19-11-2024,
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,0.67,1.34,7467309.jpg,0,Μακαρόνια Νο 6,Kg,,ab,13-11-2024,19-11-2024,
6,27093252,ΣΠΑΛΑ Α/Ο ΧΟΙΡΙΝΗ ΕΛΛΗΝΙΚΗ,8.20,8.20,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ab,13-11-2024,19-11-2024,
7,27025864,AB ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ,2.95,2.95,7603950.jpg,1,Νωπό Κοτόπουλο Ολόκληρο,Kg,,ab,13-11-2024,19-11-2024,
8,29661107,ΦΙΛ.ΓΑΛ/ΛΑΣ EN ΕΛΛΑΔΙ ΒΡΑΣΤΟ ΤΟΣΤ,11.90,11.90,7080274.jpg,0,Γαλοπούλα,Kg,,ab,13-11-2024,19-11-2024,
8,29667505,ΦΙΛΕΤΟ ΓΑΛΟΠ.ΕΝ ΕΛΛΑΔΙ ΚΑΠΝ ΤΟΣΤ,11.90,11.90,7080305.jpg,0,Γαλοπούλα,Kg,,ab,13-11-2024,19-11-2024,
8,29824861,ΕΔΕΣΜΑ ΓΑΛ/ΛΑ ΚΑΠΝΙΣΤΗ Χ.Γ,7.77,7.77,default_kalathi.png,0,Γαλοπούλα,Kg,,ab,13-11-2024,19-11-2024,
9,29125692,ΑΒ ΜΠΑΚΑΛΙΑΡΟΣ 300/500Γ Α/Κ ΕΙΣΑΓΩΓΗΣ,4.35,4.35,7072811.jpg,1,Ψάρια Κατεψυγμένα,Kg,,ab,13-11-2024,19-11-2024,
10,5202178001116,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠΟΣ  ΠΛΗΡΕΣ 1LT,1.49,1.49,7076755.jpg,0,Γάλα Φρέσκο Πλήρες,lt,,ab,13-11-2024,19-11-2024,
10,5202336155736,AB ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1LT,1.00,1.00,7729435.jpg,1,Γάλα Φρέσκο Πλήρες,lt,,ab,13-11-2024,19-11-2024,
11,5202178001178,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠ.ΕΛ.1.7% 1L,1.49,1.49,7076872.jpg,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,13-11-2024,19-11-2024,
11,5202336155712,AB ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.00,1.00,7729454.jpg,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,13-11-2024,19-11-2024,
12,5201037508032,ΒΛAXAΣ ΓAΛA EBAΠOPE ΠΛΗΡΕΣ 410G,1.26,3.07,7515792.jpg,0,Γάλα Εβαπορέ,lt,,ab,13-11-2024,19-11-2024,
12,5201037508063,ΒΛAXAΣ ΓAΛA EBAΠΟΡΕ EΛAΦPY 410G,1.26,3.07,7515776.jpg,0,Γάλα Εβαπορέ,lt,,ab,13-11-2024,19-11-2024,
12,5202336127627,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 7.8% ΠΛΗΡΕΣ 170G,0.39,2.29,7579709.jpg,1,Γάλα Εβαπορέ,lt,,ab,13-11-2024,19-11-2024,
12,5202336127641,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 4% LIGHT 170G,0.39,2.29,7579741.jpg,1,Γάλα Εβαπορέ,lt,,ab,13-11-2024,19-11-2024,
13,5202336035694,AB ΑΓΕΛΑΔΟΣ 3.9% ΓΙΑΟΥΡΤΙ 3Χ200ΓΡ,1.30,2.17,7080174.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,13-11-2024,19-11-2024,
13,5206851067772,ΝΟΥΝΟΥ ΣΤΡΑΓΓ. ΓΙΑ 1.5% 2Χ200Γ Κ 200ΓΡ Δ,2.56,4.27,7335617.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,13-11-2024,19-11-2024,
14,5202336035700,AB ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2% 3Χ200ΓΡ,1.30,2.17,7080184.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,13-11-2024,19-11-2024,
