CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ENRICHED
23,80043025,ΜΠ. ΣΤΑΘΗ ΦΑΣΟΛΑΚΙΑ ΠΛΑΤΙΑ 900ΓΡ.                          ,2.88,3.20,default_kalathi.png,0,Λαχανικά Κατεψυγμένα,kg,,galaxias,17-09-2025,23-09-2025,
23,391674,ΜΠ. ΣΤΑΘΗ ΦΑΣΟΛΑΚΙΑ ΠΛΑΤΙΑ 1000ΓΡ                           ,3.20,3.20,default_kalathi.png,0,Λαχανικά Κατεψυγμένα,kg,,galaxias,17-09-2025,23-09-2025,
23,80047773,ΜΠ. ΣΤΑΘΗ ΦΑΣΟΛΑΚΙΑ ΠΛΑΤΙΑ 1100ΓΡ.                          ,3.52,3.20,default_kalathi.png,0,Λαχανικά Κατεψυγμένα,kg,,galaxias,17-09-2025,23-09-2025,
24,80049842/ 80001022,ΖΑΧΑΡΗ ΛΕΥΚΗ 1 κιλό (ανάλογα με τη διαθεσιμότητα),0.71,0.71,default_kalathi.png,0,Λευκή Ζάχαρη,kg,,galaxias,17-09-2025,23-09-2025,
25,260815,ΓΙΩΤΗΣ ΦΑΡΙΝ ΛΑΚΤΕ 300ΓΡ,2.42,8.07,default_kalathi.png,0,Κρέμες για βρέφη,kg,,galaxias,17-09-2025,23-09-2025,
26,260163,ALMIRON GROWING UP 1+  1LT,2.10,2.10,default_kalathi.png,0,Γάλα για βρέφη,kg,,galaxias,17-09-2025,23-09-2025,
27,80020212,ΓΑΛΑΞΙΑΣ ΕΛΛΗΝΙΚΟΣ ΚΑΦΕΣ 93ΓΡ. (R.F),1.18,12.69,default_kalathi.png,1,Ελληνικός Καφές,kg,,galaxias,17-09-2025,23-09-2025,
27,281435,BRAVO ΚΛΑΣΣΙΚΟΣ 95ΓΡ.,2.08,21.90,default_kalathi.png,0,Ελληνικός Καφές,kg,,galaxias,17-09-2025,23-09-2025,
28,281301,ΓΑΛΑΞΙΑΣ ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 100ΓΡ.,2.68,26.80,default_kalathi.png,1,Στιγμιαίος Καφές,kg,,galaxias,17-09-2025,23-09-2025,
29,281538,ΓΑΛΑΞΙΑΣ ΚΑΦΕΣ ΦΙΛΤΡΟΥ PREMIUM 250GR,3.65,14.60,default_kalathi.png,1,Γαλλικός Καφές,kg,,galaxias,17-09-2025,23-09-2025,
30,4401130,ΓΑΛΑΞΙΑΣ ΦΡΟΥΚΤΟΖΗ  200 ΓΡ.,1.16,5.80,default_kalathi.png,1,Γλυκαντικές Ουσίες Κατάλληλες για Διαβητικούς,kg,,galaxias,17-09-2025,23-09-2025,
32,220218,3Α ΦΑΚΕΣ ΨΙΛΕΣ 500ΓΡ. ΕΙΣΑΓΩΓΗΣ,2.18,4.36,default_kalathi.png,0,Φακές,kg,,galaxias,17-09-2025,23-09-2025,
33,80045233,MADORA ΧΥΜΟΣ 100% ΠΟΡΤΟΚΑΛΙ 1LT ,0.99,0.99,default_kalathi.png,0,Χυμός Πορτοκάλι,lt,,galaxias,17-09-2025,23-09-2025,
35,80044850,ACTIFRESH & CLEAN ΥΓ.ΠΛΥΝΤ. 34Μ 1.5LT,3.29,0.10,default_kalathi.png,0,Απορρυπαντικά Πλυντηρίου,μεζ,,galaxias,17-09-2025,23-09-2025,
36,80019953,AJAX ΚΑΘΑΡΙΣΤΙΚΟ BOOST ΜΑΓΕΙΡ.ΣΟΔΑ&ΛΕΜΟΝΙ 1LT,1.43,1.43,default_kalathi.png,0,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,galaxias,17-09-2025,23-09-2025,
36,80019956,AJAX ΥΓΡΟ ΚΑΘ. BOOST ΞΥΔΙ & ΛΕΒΑΝΤΑ 1LT,1.43,1.43,default_kalathi.png,0,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,galaxias,17-09-2025,23-09-2025,
36,80019957,AJAX ΚΑΘ.BOOST ΞΥΔΙ & ΜΗΛΟ 1LT,1.43,1.43,default_kalathi.png,0,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,galaxias,17-09-2025,23-09-2025,
37,13910,PALMOLIVE ΥΓΡΟ ΠΙΑΤΩΝ ΛΕΜΟΝΙ ΠΡΑΣΙΝΟ  500ML.,1.27,2.54,default_kalathi.png,0,Απορρυπαντικά Πιάτων,lt,,galaxias,17-09-2025,23-09-2025,
37,13901,PALMOLIVE ΠΙΑΤΩΝ  500ML REGULAR,1.27,2.54,default_kalathi.png,0,Απορρυπαντικά Πιάτων,lt,,galaxias,17-09-2025,23-09-2025,
38,80013830,REGINA GREEN ΡΟΛΛΟ ΚΟΥΖΙΝΑΣ 2ΦΥΛΛΟ 310ΓΡ,1.14,3.68,default_kalathi.png,0,Χαρτί Κουζίνας,kg,,galaxias,17-09-2025,23-09-2025,
39,110104,COLGATE ΟΔΟΝ/ΜΑ 75ML CLASSIC,0.90,12.00,default_kalathi.png,0,Οδοντόκρεμα,kg,,galaxias,17-09-2025,23-09-2025,
40,80046014,SOFTEX SOFT 10ΑΡΙ ΥΓΕΙΑΣ 2PL 670ΓΡ,2.74,4.09,default_kalathi.png,0,Χαρτί Υγείας,τμχ,,galaxias,17-09-2025,23-09-2025,
41,91595,EVERYDAY Σ/ΤΕΣ SUPER ULTRA PLUS HYPERDRY ACTIVE ECONOMY 18Τ,2.17,0.12,default_kalathi.png,0,Σερβιέτες ή Ταμπόν,τμχ,,galaxias,17-09-2025,23-09-2025,
41,91626,EVERYDAY HYPERDRY ULTRA PLUS ACTIVE ECONOMY Μ.NIGHT 18Τ,2.17,0.12,default_kalathi.png,0,Σερβιέτες ή Ταμπόν,τμχ,,galaxias,17-09-2025,23-09-2025,
42,302270,ΓΑΛΑΞΙΑΣ ΝΙΦΑΔΕΣ ΒΡΩΜΗΣ 500ΓΡ,1.10,2.20,default_kalathi.png,1,Προϊόντα Βρώμης,kg,,galaxias,17-09-2025,23-09-2025,
43,121150,SYOSS ΣΑΜΠΟΥΑΝ COLOR 750ML,3.92,5.23,default_kalathi.png,0,Σαμπουάν,lt,,galaxias,17-09-2025,23-09-2025,"{'product_id': 5744, 'brand': 'SYOSS', 'detailed_category': 'Καλλυντικά & Είδη Προσωπικής υγιεινής', 'sub_category': 'Φροντίδα Μαλλιών', 'sub_sub_category': 'Σαμπουάν', 'unit': 'ανά λιτ', 'catalog_description': 'SYOSS SALOPLEX ΣΑΜΠΟΥΑΝ 6/750ML.', 'logo': 'Syoss_Shampoo5.jpg', 'permanent_discount': True, 'match_method': 'name_similarity', 'match_confidence': 0.81}"
43,121154,SYOSS ΣΑΜΠΟΥΑΝ REPAIR 750ML,3.92,5.23,default_kalathi.png,0,Σαμπουάν,lt,,galaxias,17-09-2025,23-09-2025,"{'product_id': 4538, 'brand': 'SYOSS', 'detailed_category': 'Καλλυντικά & Είδη Προσωπικής υγιεινής', 'sub_category': 'Φροντίδα Μαλλιών', 'sub_sub_category': 'Σαμπουάν', 'unit': 'ανά λιτ', 'catalog_description': 'SYOSS REPAIR ΕΠΑΓΓΕΛ/ΚΟ ΣΑΜΠΟΥΑΝ 6/750ML', 'logo': 'Syoss_SHAMPOO_REPAIR_THERAPY_750ML.jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.81}"
43,121159,SYOSS ΣΑΜΠΟΥΑΝ VOLUME 750ML,3.92,5.23,default_kalathi.png,0,Σαμπουάν,lt,,galaxias,17-09-2025,23-09-2025,"{'product_id': 4535, 'brand': 'SYOSS', 'detailed_category': 'Καλλυντικά & Είδη Προσωπικής υγιεινής', 'sub_category': 'Φροντίδα Μαλλιών', 'sub_sub_category': 'Σαμπουάν', 'unit': 'ανά λιτ', 'catalog_description': 'SYOSS VOLUME ΕΠΑΓΓΕΛ/ΚΟ ΣΑΜΠΟΥΑΝ 6/750ML', 'logo': 'Syoss_SHAMPOO_VOLUME_LIFT_750ML.jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.81}"
43,80003126,SYOSS ΣΑΜΠΟΥΑΝ KERATIN 750ML,3.92,5.23,default_kalathi.png,0,Σαμπουάν,lt,,galaxias,17-09-2025,23-09-2025,"{'product_id': 4547, 'brand': 'SYOSS', 'detailed_category': 'Καλλυντικά & Είδη Προσωπικής υγιεινής', 'sub_category': 'Φροντίδα Μαλλιών', 'sub_sub_category': 'Σαμπουάν', 'unit': 'ανά λιτ', 'catalog_description': 'SYOSS KERATIN ΕΠΑΓΓ/ΚΟ ΣΑΜΠΟΥΑΝ 6/750ML', 'logo': 'Syoss_KERATIN_750ML.jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.84}"
43,80009083,SYOSS ΣΑΜΠΟΥΑΝ RENEW 750ML,3.92,5.23,default_kalathi.png,0,Σαμπουάν,lt,,galaxias,17-09-2025,23-09-2025,"{'product_id': 5743, 'brand': 'SYOSS', 'detailed_category': 'Καλλυντικά & Είδη Προσωπικής υγιεινής', 'sub_category': 'Φροντίδα Μαλλιών', 'sub_sub_category': 'Σαμπουάν', 'unit': 'ανά λιτ', 'catalog_description': 'SYOSS RENEW ΕΠΑΓ/ΚΟ ΣΑΜΠΟΥΑΝ 6/750ML', 'logo': 'Syoss_Shampoo4.jpg', 'permanent_discount': True, 'match_method': 'name_similarity', 'match_confidence': 0.84}"
44,100251,ΓΑΛΑΞΙΑΣ ΣΑΠΟΥΝΙ ΛΕΒΑΝΤΑ 125ΓΡ,0.45,3.60,default_kalathi.png,1,Σαπούνι Στερεό,kg,,galaxias,17-09-2025,23-09-2025,
44,80047239,ΓΑΛΑΞΙΑΣ ΣΑΠΟΥΝΙ ΛΕΒΑΝΤΑ 125ΓΡ,0.45,3.60,default_kalathi.png,1,Σαπούνι Στερεό,kg,,galaxias,17-09-2025,23-09-2025,
44,100252,ΓΑΛΑΞΙΑΣ ΣΑΠΟΥΝΙ ΠΕΥΚΟ 125ΓΡ,0.45,3.60,default_kalathi.png,1,Σαπούνι Στερεό,kg,,galaxias,17-09-2025,23-09-2025,
44,80047238,ΓΑΛΑΞΙΑΣ ΣΑΠΟΥΝΙ ΠΕΥΚΟ 125ΓΡ,0.45,3.60,default_kalathi.png,1,Σαπούνι Στερεό,kg,,galaxias,17-09-2025,23-09-2025,
45,92366,SANI PANTS ΝΟ2 MEDIUM 14Τ ΕΣΩΡΟΥΧΑ ΑΚΡΑΤΕΙΑΣ,7.51,0.54,default_kalathi.png,0,Πάνες Ακράτειας,τμχ,,galaxias,17-09-2025,23-09-2025,
45,92367,SANI PANTS ΝΟ3 LARGE 14Τ ΕΣΩΡΟΥΧΑ ΑΚΡΑΤΕΙΑΣ,9.12,0.65,default_kalathi.png,0,Πάνες Ακράτειας,τμχ,,galaxias,17-09-2025,23-09-2025,
45,80041205,SANI PANTS N4 EX. LARGE 14TEM,11.69,0.84,default_kalathi.png,0,Πάνες Ακράτειας,τμχ,,galaxias,17-09-2025,23-09-2025,
45,92365,SANI PANTS ΝΟ 1 SMALL 14Τ ΕΣΩΡΟΥΧΑ ΑΚΡΑΤΕΙΑΣ,6.27,0.45,default_kalathi.png,0,Πάνες Ακράτειας,τμχ,,galaxias,17-09-2025,23-09-2025,"{'product_id': 3853, 'brand': 'SANI', 'detailed_category': 'Χαρτικά, Πάνες & Σερβιέτες', 'sub_category': 'Σερβιέτες & Πάνες ενηλίκων', 'sub_sub_category': 'Πάνες & Σερβιέτες ακράτειας, Χαρτοβάμβακας', 'unit': 'ανά τεμ', 'catalog_description': 'SANI PANTS ΕΣΩΡ. ΑΚΡΑΤ. Ν. 1 SMALL 4/14TEM', 'logo': 'Sani_PANTS_SMALL_MEDIUM_N1_14CT.jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.82}"
46,92892,BABYLINO ΠΑΝΕΣ SENSITIVE ECONOMY ΝΟ5 11-16KG /44Τ.,10.55,0.24,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
46,92893,BABYLINO  SENS.ECONOMY ΝΟ4+ 10-15KG 46T,10.55,0.23,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
46,92894,BABYLINO ΠΑΝΕΣ SENSITIVE ECONOMY ΝΟ4 8-13KG 50Τ,10.55,0.21,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
46,92895,BABYLINO ΠΑΝΕΣ SENSITIVE ECONOMY ΝΟ3 4-9KG /56Τ,10.55,0.19,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
46,80006619,BABYLINO ΠΑΝΕΣ SENSITIVE  ECONOMY No2 3-6KG 50T,6.03,0.12,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
46,80007410,BABYLINO SENSITIVE  ECON. ΝΟ5+ 12-17KG/42T,10.55,0.25,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
46,80042934,BABYLINO ΠΑΝΕΣ SENS.ECON. ΝΟ6 13-18KG 38T,10.55,0.28,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
46,80051214,BABYLINO SENSITIVE ECONOMY ΝΟ2 3-6KG/64,8.44,0.13,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
46,80042935,BABYLINO SENSITIVE ECON. ΝΟ7 15+KG/36Τ,10.55,0.29,default_kalathi.png,0,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
46,80051213,BABYLINO SENSITIVE ECONOMY ΝΟ1 2-5KG/68T,8.42,0.12,default_kalathi.png,,Πάνες για Μωρά,τμχ,,galaxias,17-09-2025,23-09-2025,
47,80048533,BABYCARE ΜΩΡΟΠ. FOR ALL RASPBERRY 90TEΜ,0.98,0.01,default_kalathi.png,0,Μωρομάντηλα,τμχ,,galaxias,17-09-2025,23-09-2025,
48,80011886,ΓΑΛΑΞΙΑΣ ΒΡΕΦ.ΑΦΡ.&ΣΑΜ.0+DELIC.CHAM.400M,1.79,4.48,default_kalathi.png,1,Σαμπουάν για Μωρά,lt,,galaxias,17-09-2025,23-09-2025,
48,80011887,ΓΑΛΑΞΙΑΣ ΒΡΕΦ.ΑΦΡ.&ΣΑΜ.0+SWEET LAV.400M,1.79,4.48,default_kalathi.png,1,Σαμπουάν για Μωρά,lt,,galaxias,17-09-2025,23-09-2025,
48,80006834,SEPTONA BABY ΣΑΜ.&ΑΦΡ/ΤΡΟ ΒΑΛ.&ΑΛΟΗ 500ML,2.43,4.86,default_kalathi.png,0,Σαμπουάν για Μωρά,lt,,galaxias,17-09-2025,23-09-2025,
49,431220,FLIK - FLOK ΣΚΥΛΟΤΡΟΦΗ ΒΟΔΙΝΟ & ΚΑΡΔΙΑ 1250ΓΡ.,2.15,1.72,default_kalathi.png,0,Τροφή για Σκύλους,kg,,galaxias,17-09-2025,23-09-2025,
49,431221,FLIK - FLOK ΣΚΥΛΟΤΡΟΦΗ ΒΟΔΙΝΟ & ΛΑΧANIKA 1250ΓΡ.,2.15,1.72,default_kalathi.png,0,Τροφή για Σκύλους,kg,,galaxias,17-09-2025,23-09-2025,
49,431218,FLIK - FLOK ΣΚΥΛΟΤΡΟΦΗ ΚΟΤΟΠΟΥΛΟ/ΓΑΛΟΠΟΥΛΑ 1250ΓΡ.,2.15,1.72,default_kalathi.png,0,Τροφή για Σκύλους,kg,,galaxias,17-09-2025,23-09-2025,
50,431222,FLIK - FLOK ΓΑΤΟΤΡΟΦΗ ΒΟΔΙΝΟ & ΚΑΡΔΙΑ 405ΓΡ.,0.87,2.15,default_kalathi.png,0,Τροφή για γάτες,kg,,galaxias,17-09-2025,23-09-2025,
50,431223,FLIK - FLOK ΓΑΤ/ΦΗ ΚΟΤΟΠ.-ΓΑΛΟΠ.405ΓΡ.,0.87,2.15,default_kalathi.png,0,Τροφή για γάτες,kg,,galaxias,17-09-2025,23-09-2025,
50,431311,FLIK - FLOK ΓΑΤΟΤΡΟΦΗ ΨΑΡΙ - ΣΟΛΟΜΟΣ 405ΓΡ.,0.87,2.15,default_kalathi.png,0,Τροφή για γάτες,kg,,galaxias,17-09-2025,23-09-2025,
51,210509,ΜΥΛΟΙ  ΑΓ.ΓΕΩΡΓΙΟΥ ΓΟΧ ΑΛΕΥΡΙ 1KG.,1.27,1.27,default_kalathi.png,0,Αλεύρι,kg,,galaxias,17-09-2025,23-09-2025,"{'product_id': 3633, 'brand': 'ΜΥΛΟΙ ΑΓ. ΓΕΩΡΓΙΟΥ', 'detailed_category': 'Τρόφιμα Παντοπωλείου', 'sub_category': 'Αλεύρι & Σιμιγδάλι', 'sub_sub_category': 'Αλεύρι', 'unit': 'ανά κιλ', 'catalog_description': 'ΜΥΛΟΙ ΑΓ. ΓΕΩΡΓΙΟΥ ΑΛΕΥΡΙ ΓΟΧ. 1KG 4/(2+1)', 'logo': 'Μυλοι_Αγ. Γεωργιου_ALEYRI_G. O. X. 4_1KG.jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.91}"
51,210101,ΑΛΛΑΤΙΝΗ ΑΛΕΥΡΙ Γ.Ο.Χ. 1KG,1.36,1.36,default_kalathi.png,0,Αλεύρι,kg,,galaxias,17-09-2025,23-09-2025,"{'product_id': 3634, 'brand': 'ΑΛΛΑΤΙΝΗ', 'detailed_category': 'Τρόφιμα Παντοπωλείου', 'sub_category': 'Αλεύρι & Σιμιγδάλι', 'sub_sub_category': 'Αλεύρι', 'unit': 'ανά κιλ', 'catalog_description': 'ΑΛΛΑΤΙΝΗ ΑΛΕΥΡΙ Γ. Ο. Χ. 14/1KG(-0. 30)', 'logo': 'Αλλατινη_ALEYRI_-0. 30_G. O. X. 1KGR. .jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.86}"
51,2101010,ΑΛΛΑΤΙΝΗ ΑΛΕΥΡΙ ΓΟΧ ΟΙΚΟΓ.3Χ1000ΓΡ.,4.08,1.36,default_kalathi.png,0,Αλεύρι,kg,,galaxias,17-09-2025,23-09-2025,
51,210165,ΓΑΛΑΞΙΑΣ ΑΛΕΥΡΙ 1KGR.,0.69,0.69,default_kalathi.png,1,Αλεύρι,kg,,galaxias,17-09-2025,23-09-2025,
53,381052,TOSTAKI ΠΑΡΙΖΑ ΤΟΣΤ,4.60,4.60,default_kalathi.png,0,Πάριζα,kg,,galaxias,17-09-2025,23-09-2025,
53,80011904,TOSTAKI ΠΑΡΙΖΑ ΦΕΤΕΣ 160ΓΡ.,1.12,7.00,default_kalathi.png,0,Πάριζα,kg,,galaxias,17-09-2025,23-09-2025,
53,80023641,ΠΑΣΣΙΑΣ Χ.ΓΛΟΥΤ. ΠΑΡΙΖΑ ΦΟΡΜΑ,4.90,4.90,default_kalathi.png,0,Πάριζα,kg,,galaxias,17-09-2025,23-09-2025,
54,80043526,ALPILAND ΓΑΛΑ ΥΨΗΛΗΣ ESL 3.5% ΛΙΠ. 1LT ,1.27,1.27,default_kalathi.png,0,Γάλα υψηλής παστερίωσης πλήρες,kg,,galaxias,17-09-2025,23-09-2025,
55,80043527,ALPILAND ΓΑΛΑ ΥΨΗΛΗΣ ESL 1.5% ΛΙΠ. 1LT  ,1.27,1.27,default_kalathi.png,0,Γάλα παστερίωσης με χαμηλά λιπαρά,kg,,galaxias,17-09-2025,23-09-2025,
56,350227,ΛΕΥΚΟ ΑΓΕΛΑΔΙΝΟ ΤΡΙΚΑΛΩΝ (ΠΡ.ΓΑΛ.ΕΕ),5.98,5.98,default_kalathi.png,0,Λευκό τυρί,kg,,galaxias,17-09-2025,23-09-2025,
57,220400,AGRINO ΦΑΣΟΛΙΑ ΜΕΤΡΙΑ 500ΓΡ.,2.25,4.50,default_kalathi.png,0,Φασόλια,kg,,galaxias,17-09-2025,23-09-2025,"{'product_id': 4426, 'brand': 'AGRINO', 'detailed_category': 'Τρόφιμα Παντοπωλείου', 'sub_category': 'Όσπρια', 'sub_sub_category': 'Φασόλια', 'unit': 'ανά κιλ', 'catalog_description': 'AGRINO ΦΑΣΟΛΙΑ ΜΕΤΡΙΑ 500 G', 'logo': 'Agrino_BEANS_MEDIUM_500GR.jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.93}"
58,220210,3Α ΡΕΒΥΘΙΑ ΑΠΟΦΛΟΙΩΜΕΝΑ 500ΓΡ.,3.68,7.36,default_kalathi.png,0,Ρεβύθια,kg,,galaxias,17-09-2025,23-09-2025,"{'product_id': 4419, 'brand': '3AΛΦΑ', 'detailed_category': 'Τρόφιμα Παντοπωλείου', 'sub_category': 'Όσπρια', 'sub_sub_category': 'Ρεβίθια, Φάβα & άλλα Όσπρια', 'unit': 'ανά κιλ', 'catalog_description': '3ΑΛΦΑ ΡΕΒΙΘΙΑ ΑΠΟΦΛΟΙΩΜΕΝΑ 20/500G', 'logo': '3αλφα_CHICK-PEAS_AP-NO_500GR.jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.83}"
52,54404,Φλωρίδης Τας Κεμπάπ 500g,6.80,13.60,floridis_moshari_katsarola_54404.jpg,0,Μοσχάρι,kg,,efood,17-09-2025,23-09-2025,
1,53831,Voion Ρύζι Κίτρινο Τύπου Μπονέτ Ελληνικό 500g,1.75,3.50,voion_ryzi_kitrino_greek_53831.jpg,0,Ρύζι,Kg,,efood,17-09-2025,23-09-2025,
1,53834,Voion Ρύζι Γλασσέ Ελληνικό 500g,1.55,3.10,voion_ryzi_glasse_53834.jpg,0,Ρύζι,Kg,,efood,17-09-2025,23-09-2025,
1,53833,Voion Ρύζι Νυχάκι Ελληνικό 500g,1.60,3.20,voion_ryzi_nyxaki_53833.jpg,0,Ρύζι,Kg,,efood,17-09-2025,23-09-2025,
1,53832,Voion Ρύζ Καρολίνα Ελληνικό 500g,2.00,4.00,voion_ryzi_karolina_53832.jpg,0,Ρύζι,Kg,,efood,17-09-2025,23-09-2025,
2,43618,Καραμολέγκος Ψωμί Τοστ Σταρένιο 680g,1.55,2.28,karamolegkos_tost_starenio_43618.jpg,0,Ψωμί για Tοστ,Kg,,efood,17-09-2025,23-09-2025,"{'product_id': 3182, 'brand': 'ΚΑΡΑΜΟΛΕΓΚΟΣ', 'detailed_category': 'Είδη Αρτοζαχαροπλαστείου', 'sub_category': 'Ψωμί τυποποιημένο', 'sub_sub_category': 'Ψωμί για τοστ σίκαλης & ολικής', 'unit': 'ανά κιλ', 'catalog_description': 'ΚΑΡΑΜΟΛΕΓΚΟΣ ΨΙΧΑ ΤΟΣΤ ΣΤΑΡΕΝΙΟ 480G', 'logo': 'Καραμολέγκος_Toast_Ψύχα_Σικάλη_480GR.jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.92}"
2,43613,Κατσέλης Ψωμί Τοστ Ολικής Άλεσης 720g,2.02,2.81,katselis_psomi_fetes_olikis_43613.jpg,0,Ψωμί για Tοστ,Kg,,efood,17-09-2025,23-09-2025,
3,55324,Κατσέλης Διπλοζυμωτό Σταρένιο Προζυμένιο Ψωμί Σε Φέτες 500g,1.70,3.40,katselis_diplozimoto_starenio_prozymenio_fetes_500gr_55324.jpg,0,Ψωμί Φραντζόλα,Kg,,efood,17-09-2025,23-09-2025,
4,64900,ELITE ΦΡΥΓΑΝΙΕΣ ΣΙΤΟΥ ΟΙΚΟΓ ΣΥΣ 12Χ500g,2.00,4.00,elite_friganies_starenies_64900.jpg,0,Φρυγανιές,Kg,,efood,17-09-2025,23-09-2025,
5,44135,Melissa Spaghetti Νo6 500g,1.10,2.20,melissa_spaggeti_no6_44135.jpg,0,Μακαρόνια Νο 6,Kg,,efood,17-09-2025,23-09-2025,
6,54400,Φλωρίδης Μπριζόλα Χοιρινή Με Οστό 700g,6.35,9.07,floridis_mprizola_hoirini_osto_54400.jpg,0,Νωπό Χοιρινό,Kg,,efood,17-09-2025,23-09-2025,
7,53662,Mimikos Μπουτάκια Κοτόπουλο 590g,8.20,13.89,mimikos_mpoutakia_kotopoulo_590gr_53662.jpg,0,Νωπό Κοτόπουλο Ολόκληρο,Kg,,efood,17-09-2025,23-09-2025,
8,60269,Ifantis Φιλέτο Γαλοπούλα Βραστή 160g,2.98,18.63,yfantis_fileto_galopoulas_vrastis_60269.jpg,0,Γαλοπούλα,Kg,,efood,17-09-2025,23-09-2025,
8,60498,Ifantis Φιλέτο Γαλοπούλα Καπνιστή 160g,2.98,18.63,yfantis_fileto_galopoulas_kapnisti_60498.jpg,0,Γαλοπούλα,Kg,,efood,17-09-2025,23-09-2025,
9,54973,7 Θάλασσες Γλώσσα Φιλέτο 600g,9.00,15.00,7thalasses_glossa_fileto_54973.jpg,0,Ψάρια Κατεψυγμένα,Kg,,efood,17-09-2025,23-09-2025,
10,57293,Mevgal Fresh Milk Full Fat 3.5% 1l,1.55,1.55,mevgal_fresh_milk_full_fat_57293.jpg,0,Γάλα Φρέσκο Πλήρες,lt,,efood,17-09-2025,23-09-2025,
11,57292,Mevgal Fresh Milk Low Fat 1.5% 1l,1.55,1.55,mevgal_fresh_milk_low_fat_57292.jpg,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,efood,17-09-2025,23-09-2025,
12,29271,Νουνού Γάλα Εβαπορέ Light 400g,1.15,2.88,nounou_evapore_light_29271.jpg,0,Γάλα Εβαπορέ,lt,,efood,17-09-2025,23-09-2025,
12,29331,Νουνού Γάλα Εβαπορέ Πλήρες 400g,1.15,2.88,nounou_evepore_plires_29331.jpg,0,Γάλα Εβαπορέ,lt,,efood,17-09-2025,23-09-2025,
13,57850,Δέλτα Του Τόπου Μας Γιαούρτι 10% 2x200g,3.20,16.00,delta_tou_topou_mas_giaourti_10%_57850.jpeg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,efood,17-09-2025,23-09-2025,
14,57849,Δέλτα Του Τόπου Μας Γιαούρτι 2% 2x200g,3.20,16.00,delta_tou_topou_mas_giaourti_2%_57849.jpeg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,efood,17-09-2025,23-09-2025,
15,40641,Όλυμπος Φέτα Βαρελίσια Π.Ο.Π. σε Άλμη 300g,5.35,14.26,olympos_feta_varelisia_almi_300gr_40641.jpg,0,Τυρί Φέτα,kg,,efood,17-09-2025,23-09-2025,
16,51685,Alpiland Gouda Αυστρίας σε Φέτες 200g,3.00,15.00,alpiland_gouda_austrias_fetes_51685.jpg,0,Τυρί Γκούντα,kg,,efood,17-09-2025,23-09-2025,
17,51686,Alpiland Gouda Light Αυστρίας σε Φέτες 200g,3.35,16.75,Alpiland_Austrian_Light_Gouda_in_Slices_200g_51686.jpg,0,Τυρί με Χαμηλά Λιπαρά,kg,,efood,17-09-2025,23-09-2025,
18,58632,Γκρέκα Ντομάτα Passata 500g,0.74,1.48,gkreka_passata_58632.jpg,0,Χυμός Τομάτας Διατηρημένος,kg,,efood,17-09-2025,23-09-2025,
