CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ENRICHED
11,5202178001178,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠ.ΕΛ.1.7% 1L,1.59,1.59,7076872.jpg,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,17-09-2025,23-09-2025,"{'product_id': 4865, 'brand': 'ΟΛΥΜΠΟΣ', 'detailed_category': 'Γάλατα, Ροφήματα & Χυμοί ψυγείου', 'sub_category': 'Γάλατα ψυγείου', 'sub_sub_category': 'Γάλατα Αγελάδος φρέσκα', 'unit': 'ανά λιτ', 'catalog_description': 'ΟΛΥΜΠΟΣ ΓΑΛΑ ΦΡΕΣΚΟ ΕΠΙΛ. ΕΛΑΦΡΥ 12/1L', 'logo': 'Ολυμπος_EPILEGMENO_LIGHT_1LT.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
11,5202336155712,AB ΕΠΙΛΟΓΗ  ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.05,1.05,7729454.jpg,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,17-09-2025,23-09-2025,
11,5202336169146,AB ΕΠΙΛΟΓΗ ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.05,1.05,default_kalathi.png,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,17-09-2025,23-09-2025,
12,5201037508032,ΒΛAXAΣ ΓAΛA EBAΠOPE ΠΛΗΡΕΣ 410G,1.19,2.90,default_kalathi.png,0,Γάλα Εβαπορέ,lt,,ab,17-09-2025,23-09-2025,"{'product_id': 4807, 'brand': 'ΒΛΑΧΑΣ', 'detailed_category': 'Είδη πρωινού & Ροφήματα', 'sub_category': 'Γάλατα & Φυτικά ροφήματα Μακράς διαρκείας', 'sub_sub_category': 'Γάλατα Συμπυκνωμένα', 'unit': 'ανά λιτ', 'catalog_description': 'ΒΛΑΧΑΣ ΓΑΛΑ ΠΛΗΡΕΣ ΣΥΜΠΥΚΝΩΜΕΝΟ 48/410G', 'logo': 'Βλαχας_FF_410GR.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
12,5201037508063,ΒΛAXAΣ ΓAΛA EBAΠΟΡΕ EΛAΦPY 410G,1.19,2.90,default_kalathi.png,0,Γάλα Εβαπορέ,lt,,ab,17-09-2025,23-09-2025,"{'product_id': 4817, 'brand': 'ΒΛΑΧΑΣ', 'detailed_category': 'Είδη πρωινού & Ροφήματα', 'sub_category': 'Γάλατα & Φυτικά ροφήματα Μακράς διαρκείας', 'sub_sub_category': 'Γάλατα Συμπυκνωμένα', 'unit': 'ανά λιτ', 'catalog_description': 'ΒΛΑΧΑΣ ΓΑΛΑ ΕΛΑΦΡΥ ΣΥΜΠΥΚΝΩΜΕΝΟ 48/410G', 'logo': 'Βλαχας_LF_410GR.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
12,5202336127627,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 7.8% ΠΛΗΡΕΣ 170G,0.48,2.82,7579709.jpg,1,Γάλα Εβαπορέ,lt,,ab,17-09-2025,23-09-2025,
12,5202336127641,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 4% LIGHT 170G,0.48,2.82,7579741.jpg,1,Γάλα Εβαπορέ,lt,,ab,17-09-2025,23-09-2025,
13,5202178002199,ΟΛΥΜΠΟΣ ΓΙΑΟΥΡΤΙ 2% 1KGR,3.71,3.71,default_kalathi.png,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,17-09-2025,23-09-2025,"{'product_id': 4933, 'brand': 'ΟΛΥΜΠΟΣ', 'detailed_category': 'Γιαούρτια, Κρέμες γάλακτος & Επιδόρπια ψυγείου', 'sub_category': 'Γιαούρτια', 'sub_sub_category': 'Γιαούρτια Αγελάδος στραγγιστά', 'unit': 'ανά κιλ', 'catalog_description': 'ΟΛΥΜΠΟΣ ΓΙΑΟΥΡΤΙ ΣΤΡΑΓΓΙΣΤΟ 2%ΛΙΠ 6/1KG', 'logo': 'Ολυμπος_STRAGGISTO_2percent_1KG.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
13,5202336035694,AB ΑΓΕΛΑΔΟΣ 3.9% ΓΙΑΟΥΡΤΙ 3Χ200ΓΡ,1.47,2.45,7080174.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,17-09-2025,23-09-2025,
14,5202178007934,ΟΛΥΜΠΟΣ ΣΤΡ/ΣΤΟ ΓΙΑΟΥΡΤΙ 5% 1KG,3.71,3.71,default_kalathi.png,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,17-09-2025,23-09-2025,"{'product_id': 4953, 'brand': 'ΟΛΥΜΠΟΣ', 'detailed_category': 'Γιαούρτια, Κρέμες γάλακτος & Επιδόρπια ψυγείου', 'sub_category': 'Γιαούρτια', 'sub_sub_category': 'Γιαούρτια Αγελάδος στραγγιστά', 'unit': 'ανά κιλ', 'catalog_description': 'ΟΛΥΜΠΟΣ ΓΙΑΟΥΡΤΙ ΣΤΡΑΓ. 5% Λ. 1KG(-0. 50)', 'logo': 'Ολυμπος_STRAINED_5percent_1KG.jpg', 'permanent_discount': False, 'match_method': 'name_similarity', 'match_confidence': 0.8}"
