CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,
52,26322254,ΝΙΤΣΙΑΚΟΣ ΒΟΕΙΟ ΕΛ ΕΚ ΛΑΠΑΣΤΗΘ ΑΟ ΑΝΩ 5Μ,12.95,12.95,default_kalathi.png,1,Μοσχάρι,kg,,ab,22-10-2025,28-10-2025,
52,GR9375,ΒΟΕΙΟ ΣΤΗΘΟΣ ΚΑΙ ΛΑΠΑ Α/Ο ΕΛΛ,12.95,12.95,default_kalathi.png,1,Μοσχάρι,kg,,ab,22-10-2025,28-10-2025,
1,5201399020074,3ΑΛΦΑ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 500GR Ε.Ε.,1.85,3.70,7085666.jpg,0,Ρύζι,Kg,,ab,22-10-2025,28-10-2025,
1,5202336158133,ΑΒ ΕΠΙΛΟΓΗ ΡΥΖΙ ΚΑΡΟΛΙΝΑ 1KG,1.56,1.56,7637204.jpg,1,Ρύζι,Kg,,ab,22-10-2025,28-10-2025,
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ab,22-10-2025,28-10-2025,
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,1,Ψωμί Φραντζόλα,Kg,,ab,22-10-2025,28-10-2025,
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ab,22-10-2025,28-10-2025,
4,5202336159734,EMMA ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ 500GR,1.30,2.60,7643297.jpg,1,Φρυγανιές,Kg,,ab,22-10-2025,28-10-2025,
4,5203064009230,ELITE ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ Χ.ΑΛΑΤΙ 4Χ125GR,1.87,3.74,default_kalathi.png,0,Φρυγανιές,Kg,,ab,22-10-2025,28-10-2025,
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,0.67,1.34,7467309.jpg,0,Μακαρόνια Νο 6,Kg,,ab,22-10-2025,28-10-2025,
6,27093252,ΣΠΑΛΑ Α/Ο ΧΟΙΡΙΝΗ ΕΛΛΗΝΙΚΗ,8.05,8.05,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ab,22-10-2025,28-10-2025,
7,27025864,AB ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ,2.99,2.99,7603950.jpg,1,Νωπό Κοτόπουλο Ολόκληρο,Kg,,ab,22-10-2025,28-10-2025,
8,29663514,ΓΑΛΟΠΟΥΛΑ ΒΡΑΣΤΗ TOSTAKI,7.70,7.70,7141275.jpg,0,Γαλοπούλα,Kg,,ab,22-10-2025,28-10-2025,
8,29663576,ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ TOSTAKI,7.70,7.70,7141282.jpg,0,Γαλοπούλα,Kg,,ab,22-10-2025,28-10-2025,
8,5202336156634,ΑΒ ΕΠΙΛ ΓΑΛΟΠ ΚΑΠΝΙΣΤΗ ΦΕΤΕΣ 300ΓΡ,2.29,7.63,default_kalathi.png,1,Γαλοπούλα,Kg,,ab,22-10-2025,28-10-2025,
9,29125692,ΑΒ ΜΠΑΚΑΛΙΑΡΟΣ 300/500Γ Α/Κ ΕΙΣΑΓΩΓΗΣ,4.35,4.35,7072811.jpg,1,Ψάρια Κατεψυγμένα,Kg,,ab,22-10-2025,28-10-2025,
10,5201037508896,ΔΕΛΤΑ ΚΑΘΗΜΕΡΙΝΑ ΦΡ.ΓΑΛΑ ΠΛΗΡ. 1LT,1.67,1.67,7617631.jpg,0,Γάλα Φρέσκο Πλήρες,lt,,ab,22-10-2025,28-10-2025,
10,5202336168927,AB ΕΠΙΛΟΓΗ ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1LT,1.05,1.05,7775478.jpg,1,Γάλα Φρέσκο Πλήρες,lt,,ab,22-10-2025,28-10-2025,
10,5202336169160,AB ΕΠΙΛΟΓΗ ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1LT,1.05,1.05,default_kalathi.png,1,Γάλα Φρέσκο Πλήρες,lt,,ab,22-10-2025,28-10-2025,
11,5201037508902,ΔΕΛΤΑ ΚΑΘΗΜΕΡΙΝΑ ΦΡ.ΓΑΛΑ ΕΛΑΦ. 1LT,1.67,1.67,7617613.jpg,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,22-10-2025,28-10-2025,
11,5202336168903,AB ΕΠΙΛΟΓΗ ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.05,1.05,7775492.jpg,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,22-10-2025,28-10-2025,
11,5202336169146,AB ΕΠΙΛΟΓΗ ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.05,1.05,default_kalathi.png,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,22-10-2025,28-10-2025,
12,5201037508032,ΒΛAXAΣ ΓAΛA EBAΠOPE ΠΛΗΡΕΣ 410G,1.19,2.90,default_kalathi.png,0,Γάλα Εβαπορέ,lt,,ab,22-10-2025,28-10-2025,
12,5201037508063,ΒΛAXAΣ ΓAΛA EBAΠΟΡΕ EΛAΦPY 410G,1.19,2.90,default_kalathi.png,0,Γάλα Εβαπορέ,lt,,ab,22-10-2025,28-10-2025,
12,5202336127627,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 7.8% ΠΛΗΡΕΣ 170G,0.48,2.82,7579709.jpg,1,Γάλα Εβαπορέ,lt,,ab,22-10-2025,28-10-2025,
12,5202336127641,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 4% LIGHT 170G,0.48,2.82,7579741.jpg,1,Γάλα Εβαπορέ,lt,,ab,22-10-2025,28-10-2025,
13,5201054001349,TOTAL 500ΓΡ,2.38,4.76,7078616.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,22-10-2025,28-10-2025,
13,5202336035694,AB ΑΓΕΛΑΔΟΣ 3.9% ΓΙΑΟΥΡΤΙ 3Χ200ΓΡ,1.47,2.45,7080174.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,22-10-2025,28-10-2025,
14,5201054002711,TOTAL 2% 500ΓΡ,2.38,4.76,7079030.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,22-10-2025,28-10-2025,
14,5202336035700,AB ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2% 3Χ200ΓΡ,1.47,2.45,7080184.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,22-10-2025,28-10-2025,
15,5202336157235,ΑΒ ΚΣΕΓ ΦΕΤΑ ΠΟΠ ΤΡΙΠΟΛΕΩΣ 400G VACUUM,3.95,9.88,7737722.jpg,1,Τυρί Φέτα,kg,,ab,22-10-2025,28-10-2025,
16,5201953990713,GOUDA ΣΕ ΦΕΤΕΣ 400ΓΡ,2.76,6.90,7301299.jpg,1,Τυρί Γκούντα,kg,,ab,22-10-2025,28-10-2025,
17,15201953000419,GOUDA LIGHT ΦΕΤΕΣ 200G,1.95,9.75,7303540.jpg,1,Τυρί με Χαμηλά Λιπαρά,kg,,ab,22-10-2025,28-10-2025,
18,5201106271270,PUMMARO PASSATA ΚΛΑΣΙΚΟ 500GR,0.68,1.36,7085895.jpg,0,Χυμός Τομάτας Διατηρημένος,kg,,ab,22-10-2025,28-10-2025,
18,GRHC3270464,GUSTONA 6/8 ΠΑΣΑΤΑ ΤΟΜΑΤΑ 500G,0.46,0.92,7718936.jpg,1,Χυμός Τομάτας Διατηρημένος,kg,,ab,22-10-2025,28-10-2025,
19,5202336162185,AB ΕΠ ΑΥΓΑ 12ΑΔΑ ΑΧΥΡΩΝΑ Μ 53/63G,2.88,0.24,7674481.jpg,1,Αυγά,τμχ,,ab,22-10-2025,28-10-2025,
20,5208069003115,SUPER FRESCO ΜΑΡΓΑΡ.ΚΛΑΣΙΚΟ 200G,0.80,4.00,7633040.jpg,0,Μαργαρίνες,kg,,ab,22-10-2025,28-10-2025,
21,5202336008858,ΑΒ ΕΧΤΡΑ ΠΑΡΘ.ΕΛΑΙΟΛΑΔΟ 1LTΦ/ΠΛΑΣΤ,6.79,6.79,7062286.jpg,1,Παρθένο Ελαιόλαδο,lt,,ab,22-10-2025,28-10-2025,
21,5202336166251,ΑΒ ΕΠΙΛΟΓΗ ΕΞ.ΠΑΡΘ.ΕΛΑΙΟΛΑΔΟ 1LT,6.79,6.79,default_kalathi.png,1,Παρθένο Ελαιόλαδο,lt,,ab,22-10-2025,28-10-2025,
22,8590421067727,GUSTONA ΗΛΙΕΛΑΙΟ 1LT,1.75,1.75,7735645.jpg,1,Ηλιέλαιο,lt,,ab,22-10-2025,28-10-2025,
23,5201310000437,ΥΦΑΝΤΗΣ ΑΡΑΚΑΣ 1KG,2.55,2.55,7739492.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,22-10-2025,28-10-2025,
23,5201310000468,ΥΦΑΝΤΗΣ ΦΑΣΟΛΑΚΙΑ ΠΛΑΤΥ 1KG,2.65,2.65,7739484.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,22-10-2025,28-10-2025,
24,5202336164028,ΑΒ ΕΠΙΛ.ΖΑΧΑΡΙ ΛΕΥΚ.ΚΡΥΣ/ΚΗ Ε.Ε1KG,0.71,0.71,default_kalathi.png,1,Λευκή Ζάχαρη,kg,,ab,22-10-2025,28-10-2025,
25,3041091409812,NUTRICIA ΦΑΡΙΝ ΛΑΚΤΕ 250 ΓΡ,1.80,7.20,7475893.jpg,0,Κρέμες για βρέφη,kg,,ab,22-10-2025,28-10-2025,
26,5202353004819,ALMIRON GROWING UP 12 24 1L,1.70,1.70,7068172.jpg,0,Γάλα για βρέφη,kg,,ab,22-10-2025,28-10-2025,
26,5202353004826,ALMIRON GROWING UP 2+ 1L,1.70,1.70,7068174.jpg,0,Γάλα για βρέφη,kg,,ab,22-10-2025,28-10-2025,
27,5201075011730,ΦΙΛΙΟΣ ΠΑΡΑΔΟΣΙΑΚΟΣ ΕΛ/ΚΟΣ ΚΑΦΕΣ 96GR,1.18,12.29,7727862.jpg,1,Ελληνικός Καφές,kg,,ab,22-10-2025,28-10-2025,
28,5202336139255,PERLA GOLD ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR,5.40,27.00,7668915.jpg,1,Στιγμιαίος Καφές,kg,,ab,22-10-2025,28-10-2025,
28,5949065033859,PERLA ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR TIN,6.80,34.00,7668972.jpg,1,Στιγμιαίος Καφές,kg,,ab,22-10-2025,28-10-2025,
29,5202336163946,PERLA ΚΑΦΕΣ ΦΙΛΤΡΟΥ ΦΟΥΝΤΟΥΚΙ 244GR,4.90,20.08,7732376.jpg,1,Γαλλικός Καφές,kg,,ab,22-10-2025,28-10-2025,
30,5202336078011,ΑΒ ΦΡΟΥΚΤΟΖΗ 200GR,1.47,7.35,7072077.jpg,1,Γλυκαντικές Ουσίες Κατάλληλες για Διαβητικούς,kg,,ab,22-10-2025,28-10-2025,
32,5201502247619,AGRINO ΦΑΚΕΣ ΨΙΛΕΣ 500GR ΕΙΣ.,1.90,3.80,7085580.jpg,0,Φακές,kg,,ab,22-10-2025,28-10-2025,
32,5202336137633,ΑΒ ΦΑΚΕΣ ΨΙΛΕΣ 500G ΕΙΣΑΓΩΓΗΣ,0.94,1.88,7142787.jpg,1,Φακές,kg,,ab,22-10-2025,28-10-2025,
33,5202336024469,AB ΦΥΣΙΚΟΣ ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙ 1LT,1.40,1.40,7091821.jpg,1,Χυμός Πορτοκάλι,lt,,ab,22-10-2025,28-10-2025,
35,5202336128143,ΑΒ ΣΚΟΝΗ ΠΛΥΝΤ.ACTIVE CLEAN 75MEZ,6.59,0.09,7584379.jpg,1,Απορρυπαντικά Πλυντηρίου,μεζ,,ab,22-10-2025,28-10-2025,
36,5202336119462,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.FRESH 1250ML,0.93,0.74,7568693.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,22-10-2025,28-10-2025,
36,5202336127764,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.LEMON 1250ML,0.93,0.74,7568679.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,22-10-2025,28-10-2025,
36,5202336127801,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.PINK 1250ML,0.93,0.74,7568692.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,22-10-2025,28-10-2025,
37,5202336149544,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ REGULAR 500ML,0.95,1.90,7638032.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,22-10-2025,28-10-2025,
37,5202336149568,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ ΛΕΜΟΝΙ 500ML,0.95,1.90,7638021.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,22-10-2025,28-10-2025,
37,8718951642683,PALMOLIVE ΛΕΜΟΝΙ LIME 500ML,1.20,2.40,7072166.jpg,0,Απορρυπαντικά Πιάτων,lt,,ab,22-10-2025,28-10-2025,
37,8718951642713,PALMOLIVE ΚΑΝΟΝΙΚΟ 500ML,1.20,2.40,7072160.jpg,0,Απορρυπαντικά Πιάτων,lt,,ab,22-10-2025,28-10-2025,
38,5202336021536,ΑΒ ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ 800GR,2.50,3.13,7114202.jpg,1,Χαρτί Κουζίνας,kg,,ab,22-10-2025,28-10-2025,
39,6920354836077,COLGATE ΟΔ/ΜΑ BAK.SODA 75ML,1.00,13.33,7111615.jpg,0,Οδοντόκρεμα,kg,,ab,22-10-2025,28-10-2025,
40,5202336158577,ΑΒ ΧΑΡΤΙ ΥΓΕΙΑΣ 10ΡΟΛΑ 2PLY,2.46,3.28,7767976.jpg,1,Χαρτί Υγείας,τμχ,,ab,22-10-2025,28-10-2025,
41,5201263006340,E.DAY U.P.HDRY ECONOMY NORMAL 18Τ,2.34,0.13,7113983.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,22-10-2025,28-10-2025,
41,5201263006357,E.DAY U.P.HDRY ECONOMY SUPER 18T,2.34,0.13,7113996.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ab,22-10-2025,28-10-2025,
